index,marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
4676,AUDI,Q2,32430,1 génération,4x4_SUV,2019,11/04/2020,DIESEL,9828,MANUEL,33000,6,116,<50000km
4677,AUDI,Q5,57730,2 génération,4x4_SUV,2019,29/03/2020,DIESEL,15976,AUTOMATIQUE,38000,18,286,<50000km
4678,AUDI,A3,20040,8V [restyling],Hatchback,2017,17/05/2020,ESSENCE,53808,MANUEL,42000,6,115,<150000km
4679,AUDI,Q5,51920,2 génération,4x4_SUV,2020,30/04/2020,DIESEL,13780,MANUEL,13000,11,190,<50000km
4680,AUDI,Q7,69190,4L [restyling],4x4_SUV,2017,29/03/2020,DIESEL,72953,AUTOMATIQUE,11000,32,500,<150000km
4681,AUDI,A7,59770,4G [restyling],Berline,2018,29/03/2020,DIESEL,52528,AUTOMATIQUE,74000,21,326,<150000km
4682,AUDI,A3,49440,8V [restyling],Hatchback,2021,24/05/2020,HYBRIDE,885,AUTOMATIQUE,68000,6,204,<5000km
4683,AUDI,A3,25280,8V [restyling],Hatchback,2019,29/03/2020,DIESEL,54061,AUTOMATIQUE,51000,6,115,<150000km
4684,AUDI,A3,29570,8V [restyling],Cabriolet,2019,13/05/2020,DIESEL,8879,MANUEL,78000,6,115,<50000km
4685,AUDI,Q5,50920,8R [restyling],4x4_SUV,2020,20/04/2020,DIESEL,25030,AUTOMATIQUE,80000,10,190,<50000km
4686,AUDI,Q3,45040,F3,4x4_SUV,2020,15/05/2020,ESSENCE,8070,AUTOMATIQUE,78000,8,150,<50000km
4687,AUDI,Q7,61340,4M,4x4_SUV,2018,20/04/2020,DIESEL,97608,AUTOMATIQUE,63000,17,252,<150000km
4688,AUDI,A4,33780,B9,Break,2017,29/03/2020,DIESEL,80829,AUTOMATIQUE,77000,16,272,<150000km
4689,AUDI,Q2,33910,1 génération,4x4_SUV,2020,15/05/2020,ESSENCE,15085,AUTOMATIQUE,33000,6,116,<50000km
4690,AUDI,A1,18730,8X [restyling],Hatchback,2018,29/03/2020,DIESEL,49865,AUTOMATIQUE,82000,4,90,<50000km
4691,AUDI,A1,14830,8X [restyling],Hatchback,2016,14/05/2020,DIESEL,77086,MANUEL,33000,4,90,<150000km
4692,AUDI,Q3,31700,8U [restyling],4x4_SUV,2018,29/03/2020,DIESEL,65092,AUTOMATIQUE,30000,8,150,<150000km
4693,AUDI,A3,25740,8V [restyling],Hatchback,2016,13/04/2020,ESSENCE,75443,AUTOMATIQUE,67000,8,150,<150000km
4694,AUDI,A3,23150,8V [restyling],Hatchback,2017,13/04/2020,DIESEL,100958,MANUEL,12000,7,150,<150000km
4695,AUDI,Q3,51480,F3,4x4_SUV,2020,16/05/2020,ESSENCE,11983,AUTOMATIQUE,78000,8,150,<50000km
4696,AUDI,A5,39040,2 génération,Cabriolet,2018,27/04/2020,DIESEL,96193,AUTOMATIQUE,18000,13,218,<150000km
4697,AUDI,Q2,30780,1 génération,4x4_SUV,2018,29/03/2020,ESSENCE,44443,AUTOMATIQUE,49000,8,150,<50000km
4698,AUDI,E-TRON,74880,1 génération,4x4_SUV,2021,17/05/2020,ELECTRIQUE,5349,AUTOMATIQUE,68000,12,360,<50000km
4699,AUDI,A7,45880,4G [restyling],Berline,2015,29/03/2020,DIESEL,20292,AUTOMATIQUE,75000,21,320,<50000km
4700,AUDI,Q3,46280,F3,4x4_SUV,2020,29/03/2020,ESSENCE,11119,AUTOMATIQUE,16000,8,150,<50000km
4701,AUDI,A3,30920,8V [restyling],Hatchback,2018,29/03/2020,DIESEL,72149,AUTOMATIQUE,80000,8,150,<150000km
4702,AUDI,Q3,29880,8U [restyling],4x4_SUV,2018,29/03/2020,DIESEL,48530,MANUEL,56000,8,150,<50000km
4703,AUDI,Q2,22870,1 génération,4x4_SUV,2018,19/05/2020,DIESEL,49403,MANUEL,81000,6,116,<50000km
4704,AUDI,A1,12820,8X,Hatchback,2014,23/05/2020,ESSENCE,79822,MANUEL,33000,5,86,<150000km
4705,AUDI,A5,56850,2 génération,Coupé,2020,19/05/2020,DIESEL,29229,AUTOMATIQUE,73000,10,190,<50000km
4706,AUDI,Q2,37500,1 génération,4x4_SUV,2019,23/05/2020,ESSENCE,20295,MANUEL,59000,8,150,<50000km
4707,AUDI,A1,23980,8X [restyling],Hatchback,2019,29/03/2020,ESSENCE,50580,MANUEL,34000,6,125,<150000km
4708,AUDI,Q3,45120,F3,4x4_SUV,2020,29/03/2020,ESSENCE,10672,AUTOMATIQUE,91000,8,150,<50000km
4709,AUDI,Q3,37720,F3,4x4_SUV,2019,17/04/2020,DIESEL,55862,AUTOMATIQUE,66000,8,150,<150000km
4710,AUDI,A5,45880,2 génération,Cabriolet,2019,29/03/2020,DIESEL,21413,AUTOMATIQUE,75000,10,190,<50000km
4711,AUDI,Q5,55530,2 génération,4x4_SUV,2020,29/03/2020,DIESEL,10648,AUTOMATIQUE,69000,9,163,<50000km
4712,AUDI,A1,30580,2 génération,Hatchback,2019,13/04/2020,ESSENCE,7800,MANUEL,12000,6,116,<50000km
4713,AUDI,Q5,70830,2 génération,4x4_SUV,2018,26/05/2020,ESSENCE,32008,AUTOMATIQUE,33000,24,286,<50000km
4714,AUDI,A1,30520,2 génération,Hatchback,2020,29/03/2020,ESSENCE,3180,AUTOMATIQUE,77000,6,116,<5000km
4715,AUDI,A4,42830,B9,Break,2020,29/03/2020,DIESEL,23235,AUTOMATIQUE,68000,8,150,<50000km
4716,AUDI,Q2,30490,1 génération,4x4_SUV,2019,29/03/2020,ESSENCE,34955,AUTOMATIQUE,14000,8,150,<50000km
4717,AUDI,TT,15450,8J,roadster 2-portes,2013,13/05/2020,DIESEL,194094,MANUEL,57000,9,170,<250000km
4718,AUDI,S5,86110,F5,Coupé,2018,13/04/2020,ESSENCE,50284,AUTOMATIQUE,29000,34,354,<150000km
4719,AUDI,A1,14150,8X [restyling],Hatchback,2015,23/04/2020,DIESEL,55934,MANUEL,34000,4,90,<150000km
4721,AUDI,Q3,32810,8U [restyling],4x4_SUV,2019,29/03/2020,DIESEL,89148,AUTOMATIQUE,43000,8,150,<150000km
4722,AUDI,A3,29690,8V [restyling],Hatchback,2020,29/03/2020,ESSENCE,4606,MANUEL,68000,8,150,<5000km
4723,AUDI,Q3,32140,8U [restyling],4x4_SUV,2018,29/03/2020,DIESEL,48379,AUTOMATIQUE,56000,8,150,<50000km
4724,AUDI,Q5,55560,2 génération,4x4_SUV,2020,15/05/2020,DIESEL,24727,AUTOMATIQUE,78000,11,190,<50000km
4725,AUDI,A5,35880,2 génération,Berline,2017,29/03/2020,ESSENCE,59976,AUTOMATIQUE,78000,10,190,<150000km
4726,AUDI,Q3,25350,8U [restyling],4x4_SUV,2019,29/03/2020,DIESEL,141482,AUTOMATIQUE,31000,8,150,<150000km
4727,AUDI,A6,43170,4Gslashcharacter001C7 [restyling],Berline,2019,29/03/2020,DIESEL,45677,AUTOMATIQUE,59000,10,190,<50000km
4728,AUDI,Q2,34190,1 génération,4x4_SUV,2018,29/03/2020,ESSENCE,27155,AUTOMATIQUE,68000,8,150,<50000km
4729,AUDI,Q3,28550,8U [restyling],4x4_SUV,2018,19/05/2020,DIESEL,47545,MANUEL,3000,8,150,<50000km
4730,AUDI,A6,49020,C8,Break,2020,10/05/2020,DIESEL,20488,AUTOMATIQUE,68000,11,204,<50000km
4731,AUDI,A1,24740,8X [restyling],Hatchback,2019,29/03/2020,ESSENCE,33813,AUTOMATIQUE,75000,6,125,<50000km
4732,AUDI,A3,35090,8V [restyling],Hatchback,2020,29/03/2020,ESSENCE,7252,AUTOMATIQUE,75000,7,150,<50000km
4733,AUDI,Q7,56880,4M,4x4_SUV,2016,13/04/2020,DIESEL,78225,AUTOMATIQUE,17000,17,252,<150000km
