marque,modele,version,prix,annee,date,motor,kilometrage,boite de vitesse,code postal,etat
Porsche,Cayenne,,29990,2010,08/02/2020,Essence,145652,Automatique,94100,<150000km
Porsche,911,,54990,2006,05/03/2020,Essence,69000,Automatique,95150,<150000km
Porsche,911,,29990,2004,05/03/2020,Essence,149000,Manuelle,95150,<150000km
Porsche,Cayenne,,20500,2008,14/04/2020,Essence,155000,Automatique,93270,<250000km
Porsche,Panamera,,42990,2010,29/02/2020,Essence,157937,Automatique,50380,<250000km
Porsche,Cayenne,,16500,2005,31/03/2020,Essence,83898,Automatique,97440,<150000km
Porsche,Boxster,,19990,2004,18/02/2020,Essence,121000,Automatique,34770,<150000km
Porsche,Cayenne,,23990,2007,16/03/2020,Essence,98650,Automatique,86580,<150000km
Porsche,911,,58000,2001,14/04/2020,Essence,59600,Automatique,68500,<150000km
Porsche,Panamera,,49990,2010,07/02/2020,Essence,81000,Automatique,65380,<150000km
Porsche,Boxster,,100,2002,14/04/2020,Essence,144000,Manuelle,66750,<150000km
Porsche,Boxster,,22990,2003,20/02/2020,Essence,99890,Manuelle,6250,<150000km
Porsche,911,,42000,2004,14/02/2020,Essence,86477,Automatique,75015,<150000km
Porsche,Cayenne,,17500,2009,09/03/2020,Diesel,170000,Manuelle,57500,<250000km
Porsche,911,,72000,1986,14/04/2020,Essence,71400,Manuelle,78160,<150000km
Porsche,Cayenne,,39980,2010,25/01/2020,Essence,65000,Automatique,38170,<150000km
Porsche,911,,62980,2007,14/04/2020,Essence,69300,Manuelle,38170,<150000km
Porsche,911,,24900,1999,08/02/2020,Essence,127800,Manuelle,63100,<150000km
Porsche,Cayenne,,12000,2004,14/04/2020,Essence,210000,Automatique,83000,<250000km
Porsche,911,,49900,2006,14/04/2020,Essence,51585,Manuelle,51100,<150000km
Porsche,968,,26500,1992,14/04/2020,Essence,81000,Manuelle,9100,<150000km
Porsche,Boxster,,21800,2010,03/03/2020,Essence,116600,Manuelle,21800,<150000km
Porsche,911,,46997,2006,14/04/2020,Essence,95000,Manuelle,71160,<150000km
Porsche,Carrera,,36980,2004,25/02/2020,Essence,153436,Automatique,25130,<250000km
Porsche,Cayenne,,9600,2005,14/04/2020,Essence,168400,Manuelle,83300,<250000km
Porsche,911,,45000,1986,14/04/2020,Essence,159000,Manuelle,13821,<250000km
Porsche,Cayman,,24990,2007,06/03/2020,Essence,104000,Manuelle,12450,<150000km
Porsche,911,,59990,2008,18/09/2019,Essence,42000,Automatique,6250,<50000km
Porsche,911,,38490,2005,14/04/2020,Essence,80000,Automatique,51100,<150000km
Porsche,Panamera,,52990,2010,10/04/2020,Essence,47000,Automatique,6210,<50000km
Porsche,911,,74500,2010,09/11/2019,Essence,33040,Manuelle,66270,<50000km
Porsche,911,,46490,2005,14/04/2020,Essence,104687,Automatique,75015,<150000km
Porsche,Autres,,32900,1968,09/04/2020,Essence,136000,Manuelle,57000,<150000km
Porsche,Autres,,46000,1967,14/04/2020,Essence,57000,Manuelle,77186,<150000km
Porsche,911,,150000,1990,25/02/2020,Essence,1500,Manuelle,6250,<5000km
Porsche,Cayenne,,16500,2006,14/04/2020,Essence,152000,Automatique,57290,<250000km
Porsche,911,,49000,2005,31/03/2020,Essence,71521,Manuelle,59000,<150000km
Porsche,Boxster,,29900,2009,07/03/2020,Essence,81000,Manuelle,22300,<150000km
Porsche,Boxster,,44987,2008,04/02/2020,Essence,47700,Manuelle,6400,<50000km
Porsche,911,,41500,2007,18/02/2020,Essence,125700,Automatique,75017,<150000km
Porsche,Boxster,,19900,2000,14/04/2020,Essence,74000,Manuelle,68100,<150000km
Porsche,Cayenne,,18990,2010,24/02/2020,Essence,114000,Manuelle,38300,<150000km
Porsche,Cayenne,,19990,2009,07/03/2020,Diesel,133137,Manuelle,6250,<150000km
Porsche,911,,54900,2007,13/03/2020,Essence,42000,Manuelle,78200,<50000km
Porsche,911,,27000,1999,14/04/2020,Essence,2130,Automatique,29800,<5000km
Porsche,Boxster,,26900,2003,25/02/2020,Essence,79900,Manuelle,33138,<150000km
Porsche,911,,77900,2008,11/12/2019,Essence,68000,Manuelle,75017,<150000km
Porsche,911,,42900,2001,16/04/2020,Essence,125000,Automatique,53290,<150000km
Porsche,Cayenne,,21000,2008,16/04/2020,Essence,133600,Manuelle,65000,<150000km
Porsche,Cayenne,,15500,2009,16/04/2020,Diesel,202000,Automatique,77100,<250000km
Porsche,911,,46900,1981,11/03/2020,Essence,170000,Manuelle,56680,<250000km
Porsche,911,,49900,2006,08/04/2020,Essence,82225,Manuelle,51100,<150000km
Porsche,911,,41900,2006,08/04/2020,Essence,131580,Manuelle,51100,<150000km
Porsche,Cayenne,,19500,2010,25/03/2020,Diesel,185305,Automatique,51100,<250000km
Porsche,911,,35900,2004,25/03/2020,Essence,69468,Manuelle,51100,<150000km
Porsche,Cayenne,,18490,2008,16/03/2020,Essence,170065,Automatique,51100,<250000km
Porsche,911,,55900,2009,03/02/2020,Essence,51850,Automatique,51100,<150000km
Porsche,911,,29900,2001,03/03/2020,Essence,128000,Manuelle,60260,<150000km
Porsche,911,,56900,1983,28/02/2020,Essence,68000,Manuelle,60260,<150000km
Porsche,911,,94900,1988,18/02/2020,Essence,107000,Manuelle,60260,<150000km
Porsche,Boxster,,22900,2007,22/02/2020,Essence,158500,Manuelle,60260,<250000km
Porsche,911,,74900,2006,21/01/2020,Essence,52000,Automatique,60260,<150000km
Porsche,Cayenne,,21500,2009,18/02/2020,Essence,112118,Automatique,83160,<150000km
Porsche,911,,59890,1991,23/01/2020,Essence,129600,Manuelle,33700,<150000km
Porsche,911,,49890,2006,21/11/2019,Essence,98250,Manuelle,33700,<150000km
Porsche,911,,101890,2010,28/02/2020,Essence,43600,Manuelle,33700,<50000km
Porsche,Panamera,,33890,2009,22/02/2020,Essence,144300,Automatique,33700,<150000km
Porsche,Boxster,,7500,1998,16/04/2020,Essence,140000,Manuelle,38490,<150000km
Porsche,911,,28500,2000,16/04/2020,Essence,143338,Automatique,31130,<150000km
Porsche,911,,69000,2009,16/04/2020,Essence,88000,Automatique,57500,<150000km
Porsche,911,,82000,2006,16/04/2020,Essence,87634,Manuelle,31130,<150000km
Porsche,Cayman,,31000,2009,16/04/2020,Essence,39500,Manuelle,62700,<50000km
Porsche,Cayman,,25000,2008,16/04/2020,Essence,120000,Manuelle,54000,<150000km
Porsche,Cayenne,,2500,2005,16/04/2020,Essence,170000,Automatique,2400,<250000km
Porsche,911,,64000,2006,12/03/2020,Essence,83000,Manuelle,42000,<150000km
Porsche,Boxster,,18900,2005,16/04/2020,Essence,159016,Manuelle,63000,<250000km
Porsche,Cayenne,,10400,2008,16/04/2020,Essence,180000,Automatique,59000,<250000km
Porsche,Cayenne,,18500,2007,16/04/2020,Essence,151700,Automatique,91420,<250000km
Porsche,Boxster,,28500,2006,16/04/2020,Essence,78750,Manuelle,44300,<150000km
Porsche,Cayenne,,29990,2007,20/02/2020,Essence,136514,Manuelle,70000,<150000km
Porsche,911,,27500,2003,16/04/2020,Essence,139500,Automatique,33000,<150000km
Porsche,911,,86900,2007,26/02/2020,Essence,76000,Manuelle,95450,<150000km
Porsche,911,,36900,2003,25/01/2020,Essence,74000,Manuelle,95450,<150000km
Porsche,911,,68000,1987,15/04/2020,Essence,187830,Manuelle,59000,<250000km
Porsche,Cayenne,,10000,2005,15/04/2020,Essence,230000,Manuelle,85430,<250000km
Porsche,911,,54900,2009,13/03/2020,Essence,99999,Automatique,17140,<150000km
Porsche,Boxster,,18990,2000,21/02/2020,Essence,111890,Manuelle,65380,<150000km
Porsche,911,,39990,1998,22/02/2020,Essence,46900,Manuelle,6250,<50000km
Porsche,Cayman,,36990,2010,14/03/2020,Essence,67250,Manuelle,21000,<150000km
Porsche,944,,10000,1986,14/04/2020,Essence,174000,Manuelle,62950,<250000km
Porsche,Boxster,,25900,2005,25/02/2020,Essence,94500,Manuelle,44500,<150000km
Porsche,911,,49990,2000,02/04/2020,Essence,73000,Manuelle,83120,<150000km
Porsche,911,,50990,2001,21/01/2020,Essence,81000,Automatique,13510,<150000km
Porsche,911,,37900,2006,14/04/2020,Essence,103300,Automatique,75017,<150000km
Porsche,Boxster,,14500,1999,14/04/2020,Essence,122000,Manuelle,74200,<150000km
Porsche,Cayenne,,11000,2003,14/04/2020,GPL,175000,Automatique,94400,<250000km
Porsche,Cayenne,,13000,2003,14/04/2020,Essence,150000,Manuelle,31180,<250000km
Porsche,911,,32500,2002,14/04/2020,Essence,180000,Manuelle,59117,<250000km
Porsche,911,,24990,2002,14/04/2020,Essence,146570,Manuelle,84400,<150000km
Porsche,Boxster,,30987,2006,14/04/2020,Essence,99500,Manuelle,31000,<150000km
Porsche,Cayenne,,14790,2004,14/04/2020,Essence,124000,Automatique,31400,<150000km
Porsche,911,,66000,2010,14/04/2020,Essence,76500,Manuelle,73400,<150000km
Porsche,Autres,,29900,1971,14/04/2020,Essence,914914,Manuelle,31000,+250000km
Porsche,Cayman,,31400,2010,18/02/2020,Essence,89000,Automatique,70200,<150000km
Porsche,Autres,,32914,1974,13/02/2020,Essence,100,Manuelle,13010,<5000km
Porsche,Boxster,,39900,2009,14/04/2020,Essence,72000,Automatique,79000,<150000km
Porsche,Cayenne,,23990,2010,06/02/2020,Hybride,178000,Manuelle,83130,<250000km
Porsche,Boxster,,18990,2005,14/04/2020,Essence,72018,Automatique,75015,<150000km
Porsche,911,,57490,2009,14/04/2020,Essence,46000,Automatique,87000,<50000km
Porsche,Cayenne,,10990,2004,14/04/2020,Essence,169000,Automatique,44300,<250000km
Porsche,Cayenne,,12990,2006,10/01/2020,Essence,112000,Automatique,17440,<150000km
Porsche,944,,15990,1987,18/02/2020,Essence,82000,Manuelle,35510,<150000km
Porsche,911,,52990,2008,14/04/2020,Essence,66000,Automatique,12850,<150000km
Porsche,911,,255000,1996,10/07/2019,Essence,116750,Manuelle,75015,<150000km
Porsche,911,,309000,2010,10/07/2019,Essence,26700,Manuelle,75015,<50000km
Porsche,Cayenne,,13999,2008,13/04/2020,Essence,165000,Automatique,18100,<250000km
Porsche,Cayenne,,6000,2005,13/04/2020,Essence,255000,Automatique,62220,+250000km
Porsche,911,,49900,1988,02/03/2020,Essence,180178,Manuelle,4000,<250000km
Porsche,911,,45000,2002,22/02/2020,Essence,156350,Automatique,55600,<250000km
Porsche,911,,49500,2004,13/04/2020,Essence,66500,Manuelle,74460,<150000km
Porsche,911,,69900,2009,17/02/2020,Essence,59500,Manuelle,75015,<150000km
Porsche,Boxster,,14990,2000,09/02/2020,Essence,130000,Manuelle,94100,<150000km
Porsche,911,,34900,2004,13/04/2020,Essence,116500,Manuelle,44690,<150000km
Porsche,928,,19900,1983,17/02/2020,Essence,142000,Automatique,68440,<150000km
Porsche,Boxster,,17900,2001,19/01/2020,Essence,65000,Automatique,8600,<150000km
Porsche,911,,29000,1982,13/04/2020,Essence,92000,Manuelle,59540,<150000km
Porsche,Boxster,,12500,1997,21/03/2020,Essence,131000,Manuelle,39100,<150000km
Porsche,Boxster,,9900,2000,13/04/2020,Essence,165321,Manuelle,27000,<250000km
Porsche,Boxster,,29500,2009,13/04/2020,Essence,80000,Manuelle,67205,<150000km
Porsche,911,,67900,1970,02/03/2020,Essence,50500,Manuelle,25440,<150000km
Porsche,911,,39990,2002,13/04/2020,Essence,94500,Manuelle,85450,<150000km
Porsche,Autres,,29900,1971,13/04/2020,Essence,914914,Manuelle,31000,+250000km
Porsche,Boxster,,24000,2003,13/04/2020,Essence,31600,Manuelle,68100,<50000km
Porsche,Boxster,,10900,1998,13/04/2020,Essence,170000,Manuelle,64000,<250000km
Porsche,Cayenne,,11000,2005,13/04/2020,Essence,200000,Automatique,20200,<250000km
