marque,modele,version,prix,date,motor,kilometrage,annee,boite de vitesse,code postal,etat
NISSAN,GT R,V6 3.8,52990,21/02/2020,ESSENCE,76800,2011,AUTOMATIQUE,6600,<150000km
NISSAN,GT R,,55000,09/03/2020,ESSENCE,77400,2009,AUTOMATIQUE,6190,<150000km
ASTON MARTIN,VANQUISH,V12 5.9,149900,23/08/2019,ESSENCE,8000,2013,AUTOMATIQUE,6110,<50000km
FERRARI,488,GTB,219900,13/01/2020,ESSENCE,6400,2020,AUTOMATIQUE,6110,<50000km
LAMBORGHINI,DIABLO,,125000,28/01/2020,ESSENCE,39000,1993,MANUELLE,6110,<50000km
LAMBORGHINI,HURACAN SPYDER,V10 5.2,184900,28/02/2020,ESSENCE,16700,2016,AUTOMATIQUE,6110,<50000km
LAMBORGHINI,HURACAN SPYDER,V10 5.2,299900,02/03/2020,ESSENCE,2900,2020,AUTOMATIQUE,6110,<5000km
FERRARI,F12,,249900,31/01/2019,ESSENCE,32900,2013,AUTOMATIQUE,6400,<50000km
MERCEDES,SLR MCLAREN,,299900,08/03/2019,ESSENCE,2100,2008,AUTOMATIQUE,6400,<5000km
LAMBORGHINI,HURACAN SPYDER,V10 5.2,269900,03/05/2019,ESSENCE,9200,2016,AUTOMATIQUE,6400,<50000km
FERRARI,F12,,319900,09/11/2019,ESSENCE,8900,2014,AUTOMATIQUE,6400,<50000km
LAMBORGHINI,AVENTADOR,SV12 6.5,279900,04/12/2019,ESSENCE,22900,2016,AUTOMATIQUE,6400,<50000km
MC LAREN,MP4 12C,V8 3.8,104000,26/12/2019,ESSENCE,25000,2011,AUTOMATIQUE,6400,<50000km
MC LAREN,MP4 12C,V8 3.8,110000,27/12/2019,ESSENCE,25000,2011,AUTOMATIQUE,6400,<50000km
FERRARI,F12,,219000,21/01/2020,ESSENCE,1750,2013,AUTOMATIQUE,6400,<5000km
FERRARI,599,GTO,750000,30/01/2020,ESSENCE,1368,2011,AUTOMATIQUE,6150,<5000km
ASTON MARTIN,VANQUISH,V12 5.9,149900,03/02/2020,ESSENCE,26900,2015,AUTOMATIQUE,6400,<50000km
NISSAN,SKYLINE,GT R,37500,07/02/2020,ESSENCE,59500,1994,MANUELLE,83440,<150000km
NISSAN,GT R,BLACK EDITION,89990,14/02/2020,ESSENCE,8724,2016,AUTOMATIQUE,83600,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION4X4,89990,14/02/2020,ESSENCE,8724,2016,AUTOMATIQUE,83600,<50000km
MC LAREN,570GT,V8 3.8,159900,03/04/2020,ESSENCE,12844,2017,AUTOMATIQUE,83490,<50000km
ASTON MARTIN,VANQUISH,V12 5.9,99990,16/09/2019,ESSENCE,27000,2005,MANUELLE,83990,<50000km
ASTON MARTIN,VANQUISH,SV12 5.9,99990,17/09/2019,ESSENCE,27000,2005,AUTOMATIQUE,83990,<50000km
NISSAN,GT R,V6 3.8PREMIUM EDITION,69990,27/01/2020,ESSENCE,55000,2012,AUTOMATIQUE,83990,<150000km
NISSAN,GT R,V6 3.8BLACK EDITION4X4,69990,28/01/2020,ESSENCE,49900,2012,AUTOMATIQUE,83990,<50000km
LAMBORGHINI,AVENTADOR,SV12 6.5,285000,20/03/2020,ESSENCE,8200,2017,AUTOMATIQUE,83780,<50000km
FORD,GT,V8 5.4,275000,25/06/2019,ESSENCE,33950,2006,MANUELLE,83580,<50000km
FERRARI,488,,420000,18/07/2019,ESSENCE,350,2018,AUTOMATIQUE,83580,<5000km
FORD,RS200,,420000,06/12/2019,-,18000,1986,MANUELLE,12025,<50000km
FERRARI,F12 TDF,,790000,09/03/2020,ESSENCE,19399,2016,AUTOMATIQUE,12084,<50000km
MC LAREN,570S,V8 3.8,149500,27/12/2019,ESSENCE,19000,2017,MANUELLE,83400,<50000km
FERRARI,488,GTB,180000,24/10/2019,ESSENCE,30000,2015,AUTOMATIQUE,12032,<50000km
MC LAREN,650S,V8 3.8,97800,08/12/2019,ESSENCE,28978,2016,AUTOMATIQUE,83130,<50000km
NISSAN,GT R,V6 3.8GENTLEMAN EDITION4X4,86990,14/02/2020,ESSENCE,9973,2017,AUTOMATIQUE,83130,<50000km
LAMBORGHINI,MURCIELAGO,,119000,19/02/2020,ESSENCE,44000,2007,AUTOMATIQUE,83130,<50000km
FORD,GT,SES,299000,10/12/2019,ESSENCE,19000,2005,-,83100,<50000km
NISSAN,GT R,GENTLEMAN EDITION,86990,14/02/2020,ESSENCE,9973,2017,AUTOMATIQUE,83000,<50000km
LAMBORGHINI,MURCIELAGO,LP580 4,115000,11/04/2020,ESSENCE,45000,2007,AUTOMATIQUE,83000,<50000km
MC LAREN,570S,V8 3.8,124990,03/04/2020,ESSENCE,30000,2017,AUTOMATIQUE,13100,<50000km
LAMBORGHINI,AVENTADOR,V12 6.5,219000,28/10/2019,ESSENCE,24000,2012,AUTOMATIQUE,13190,<50000km
MC LAREN,570GT,V8 3.8,165000,03/01/2020,ESSENCE,6500,2016,AUTOMATIQUE,13290,<50000km
NISSAN,GT R,BLACK EDITION,61000,11/03/2020,ESSENCE,40000,2012,AUTOMATIQUE,13013,<50000km
FERRARI,F12,,180000,05/10/2018,ESSENCE,40774,2013,AUTOMATIQUE,10141,<50000km
LAMBORGHINI,MURCIELAGO,,180000,24/11/2018,ESSENCE,29800,2008,MANUELLE,10149,<50000km
FERRARI,488,,225000,17/07/2019,ESSENCE,10790,2017,AUTOMATIQUE,10141,<50000km
FERRARI,488,GTB,195000,23/09/2019,ESSENCE,21150,2017,AUTOMATIQUE,10141,<50000km
FERRARI,488,GTB,199000,07/11/2019,ESSENCE,15475,2017,AUTOMATIQUE,10141,<50000km
FERRARI,F12,,185000,30/11/2019,ESSENCE,47577,2013,AUTOMATIQUE,10141,<50000km
FERRARI,F12,,185000,05/12/2019,ESSENCE,28691,2014,AUTOMATIQUE,10141,<50000km
FERRARI,488,GTB,180000,05/12/2019,ESSENCE,45260,2016,AUTOMATIQUE,10141,<50000km
FERRARI,488,,230000,09/01/2020,ESSENCE,20000,2017,AUTOMATIQUE,10141,<50000km
FERRARI,488,,245000,22/01/2020,ESSENCE,8024,2017,AUTOMATIQUE,10141,<50000km
MERCEDES,SLR MCLAREN,,290000,01/02/2020,ESSENCE,16822,2004,AUTOMATIQUE,10100,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION,120000,29/02/2020,ESSENCE,42000,2013,AUTOMATIQUE,10100,<50000km
FERRARI,812 SUPERFAST,,280000,06/03/2020,ESSENCE,21722,2018,AUTOMATIQUE,10141,<50000km
DE TOMASO,PANTERA,,155000,15/03/2020,ESSENCE,54000,1974,MANUELLE,10151,<150000km
NISSAN,GT R,V6 3.8BLACK EDITION,51900,13/04/2020,ESSENCE,66000,2012,AUTOMATIQUE,10098,<150000km
NISSAN,GT R,V6 3.8BLACK EDITION,67900,18/10/2019,ESSENCE,32000,2013,AUTOMATIQUE,10040,<50000km
MC LAREN,600LT,V8 3.8,269000,12/06/2019,ESSENCE,80,2019,AUTOMATIQUE,13510,<5000km
FERRARI,488,GTB,199900,15/08/2019,ESSENCE,15353,2016,AUTOMATIQUE,13510,<50000km
ASTON MARTIN,VANQUISH,V12 5.9,157000,03/12/2019,ESSENCE,8100,2016,AUTOMATIQUE,13010,<50000km
LAMBORGHINI,COUNTACH,,540000,10/12/2019,ESSENCE,254,1990,MANUELLE,16100,<5000km
LAMBORGHINI,DIABLO,V12 5.7,260000,13/12/2019,ESSENCE,18000,1995,MANUELLE,16100,<50000km
FERRARI,F12,,235000,19/10/2019,ESSENCE,8500,2015,AUTOMATIQUE,16148,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION,88900,19/02/2020,ESSENCE,12000,2018,AUTOMATIQUE,13880,<50000km
LAMBORGHINI,DIABLO,,158000,01/06/2018,ESSENCE,35948,1993,MANUELLE,10036,<50000km
NISSAN,GT R,BLACK EDITION,87900,16/11/2019,ESSENCE,79000,2010,AUTOMATIQUE,13340,<150000km
LAMBORGHINI,DIABLO,,204100,15/01/2020,ESSENCE,65000,1995,MANUELLE,10077,<150000km
MERCEDES,SLR MCLAREN,,399000,08/08/2018,ESSENCE,6000,2004,AUTOMATIQUE,15100,<50000km
MC LAREN,570S SPIDER,V8 3.8,159000,29/02/2020,ESSENCE,6114,2018,AUTOMATIQUE,15100,<50000km
NISSAN,GT R,BLACK EDITION,86500,22/10/2019,ESSENCE,79000,2010,AUTOMATIQUE,84000,<150000km
FERRARI,488,GTB,186990,24/01/2020,ESSENCE,13956,2015,AUTOMATIQUE,84100,<50000km
LAMBORGHINI,DIABLO,V12 5.7,135000,08/02/2019,ESSENCE,40000,1997,MANUELLE,28100,<50000km
NISSAN,GT R,,69990,12/03/2020,ESSENCE,66500,2009,AUTOMATIQUE,73190,<150000km
NISSAN,GT R,V6 3.8GENTLEMAN EDITION,92990,28/11/2019,ESSENCE,10400,2017,AUTOMATIQUE,73000,<50000km
NISSAN,GT R,V6 3.8GENTLEMAN EDITION,99990,13/04/2020,ESSENCE,2000,2019,AUTOMATIQUE,30000,<5000km
MERCEDES,SLR MCLAREN,,285000,07/12/2018,ESSENCE,14700,2005,AUTOMATIQUE,20080,<50000km
FERRARI,488,,233000,06/09/2019,ESSENCE,5600,2017,AUTOMATIQUE,20080,<50000km
FERRARI,812 SUPERFAST,,316000,23/10/2019,ESSENCE,5100,2018,AUTOMATIQUE,20080,<50000km
LAMBORGHINI,AVENTADOR,SVJV12 6.5,523500,10/12/2019,ESSENCE,22,2020,AUTOMATIQUE,20080,<5000km
LAMBORGHINI,AVENTADOR,SV12 6.5,301000,10/12/2019,ESSENCE,3300,2018,AUTOMATIQUE,20080,<5000km
MC LAREN,SENNA,V8 4.0,1260000,11/12/2019,ESSENCE,10,2020,AUTOMATIQUE,20080,<5000km
ASTON MARTIN,VANQUISH,V12 5.9,163000,11/12/2019,ESSENCE,8250,2015,AUTOMATIQUE,20080,<50000km
MC LAREN,720S,V8 4.0,235000,18/12/2019,ESSENCE,7800,2018,AUTOMATIQUE,20080,<50000km
MC LAREN,SENNA,V8 4.0,1350000,03/01/2020,ESSENCE,10,2020,AUTOMATIQUE,20080,<5000km
FERRARI,F12,,191000,15/02/2020,ESSENCE,30900,2014,AUTOMATIQUE,20080,<50000km
LAMBORGHINI,AVENTADOR,SV12 6.5,292000,18/02/2020,ESSENCE,17100,2017,AUTOMATIQUE,20080,<50000km
MC LAREN,570GT,V8 3.8,138000,22/02/2020,ESSENCE,24300,2016,AUTOMATIQUE,20080,<50000km
FERRARI,ENZO,,2050000,04/03/2020,ESSENCE,9200,2004,AUTOMATIQUE,20080,<50000km
LAMBORGHINI,AVENTADOR,SVV12 6.5,365000,06/03/2020,ESSENCE,6500,2015,AUTOMATIQUE,20080,<50000km
LAMBORGHINI,AVENTADOR,V12 6.5,258000,12/03/2020,ESSENCE,7600,2016,AUTOMATIQUE,20080,<50000km
MC LAREN,600LT,V8 3.8,228000,10/04/2020,ESSENCE,6700,2019,AUTOMATIQUE,20080,<50000km
FERRARI,488,,161959,07/04/2020,ESSENCE,26790,2017,AUTOMATIQUE,54100,<50000km
FERRARI,812 SUPERFAST,,350000,11/12/2019,ESSENCE,10,2019,AUTOMATIQUE,20010,<5000km
FERRARI,F12,,210000,16/12/2019,ESSENCE,38242,2015,AUTOMATIQUE,57100,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION,89900,18/10/2019,ESSENCE,9000,2014,AUTOMATIQUE,20090,<50000km
LAMBORGHINI,AVENTADOR,V12 6.5,350000,19/10/2019,ESSENCE,150,2014,AUTOMATIQUE,20090,<5000km
FERRARI,488,GTB,216800,18/02/2020,ESSENCE,8400,2019,AUTOMATIQUE,20090,<50000km
LAMBORGHINI,DIABLO,V12 5.7,389000,20/02/2020,ESSENCE,35300,1994,MANUELLE,20090,<50000km
LAMBORGHINI,AVENTADOR,SV12 6.5,329900,25/02/2020,ESSENCE,13900,2018,MANUELLE,20090,<50000km
FERRARI,812 SUPERFAST,,375500,04/03/2020,ESSENCE,500,2019,AUTOMATIQUE,20090,<5000km
FERRARI,488,,248900,04/03/2020,ESSENCE,2000,2019,AUTOMATIQUE,20090,<5000km
MC LAREN,570S SPIDER,V8 3.8,199000,15/11/2018,ESSENCE,1130,2020,AUTOMATIQUE,20100,<5000km
LAMBORGHINI,AVENTADOR,SV12 6.5,324900,23/11/2018,ESSENCE,5337,2017,AUTOMATIQUE,20100,<50000km
FERRARI,F12,,189000,08/01/2019,ESSENCE,30000,2013,AUTOMATIQUE,20142,<50000km
PORSCHE,CARRERA GT,,880000,21/01/2019,ESSENCE,10142,2006,MANUELLE,20149,<50000km
LAMBORGHINI,COUNTACH,LP500S,365000,14/02/2019,ESSENCE,11476,1984,MANUELLE,20126,<50000km
FERRARI,488,,199000,22/02/2019,ESSENCE,32000,2017,AUTOMATIQUE,20121,<50000km
FERRARI,488,,190000,08/03/2019,ESSENCE,1000,2016,AUTOMATIQUE,20159,<5000km
ASTON MARTIN,VANQUISH,V12 5.9,75500,23/03/2019,ESSENCE,12900,2002,AUTOMATIQUE,20100,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION,49500,09/04/2019,ESSENCE,27000,2009,AUTOMATIQUE,20158,<50000km
LAMBORGHINI,DIABLO,V12 5.7,159900,14/05/2019,ESSENCE,60977,1992,MANUELLE,20126,<150000km
FERRARI,488,,245000,15/06/2019,ESSENCE,8900,2018,AUTOMATIQUE,20142,<50000km
FERRARI,488,,225000,28/06/2019,ESSENCE,15900,2016,AUTOMATIQUE,20142,<50000km
ASTON MARTIN,VANQUISH,V12 5.9,94500,03/08/2019,ESSENCE,34000,2002,AUTOMATIQUE,20100,<50000km
ASTON MARTIN,VANQUISH,SV12 5.9,110000,31/08/2019,ESSENCE,49000,2005,AUTOMATIQUE,20123,<50000km
FERRARI,488,GTB,185000,21/09/2019,ESSENCE,33000,2015,AUTOMATIQUE,20142,<50000km
FERRARI,812 SUPERFAST,,285000,21/09/2019,ESSENCE,2400,2018,AUTOMATIQUE,20142,<5000km
FERRARI,488,GTB,215000,26/09/2019,ESSENCE,3000,2017,AUTOMATIQUE,20129,<5000km
MERCEDES,SLR MCLAREN,,350000,18/10/2019,ESSENCE,-,2006,AUTOMATIQUE,20154,NC
NISSAN,GT R,V6 3.8,61500,30/10/2019,ESSENCE,43400,2011,AUTOMATIQUE,20121,<50000km
FERRARI,488,,249000,12/11/2019,ESSENCE,38000,2016,AUTOMATIQUE,20100,<50000km
FERRARI,812 SUPERFAST,,280000,14/11/2019,ESSENCE,11200,2018,AUTOMATIQUE,20142,<50000km
FERRARI,488,,240000,26/11/2019,ESSENCE,3900,2016,AUTOMATIQUE,20142,<5000km
FERRARI,488,GTB,225000,04/12/2019,ESSENCE,34000,2018,AUTOMATIQUE,20100,<50000km
FERRARI,488,,230000,04/12/2019,ESSENCE,4300,2017,AUTOMATIQUE,20142,<5000km
MC LAREN,570S SPIDER,V8 3.8,199000,06/12/2019,ESSENCE,930,2019,AUTOMATIQUE,20100,<5000km
MC LAREN,720S,V8 4.0,255000,06/12/2019,ESSENCE,850,2020,AUTOMATIQUE,20100,<5000km
MC LAREN,720S,V8 4.0,275500,06/12/2019,ESSENCE,1422,2019,AUTOMATIQUE,20100,<5000km
MC LAREN,720S,V8 4.0,259000,06/12/2019,ESSENCE,660,2020,AUTOMATIQUE,20100,<5000km
MC LAREN,720S,V8 4.0,279000,03/01/2020,ESSENCE,660,2020,AUTOMATIQUE,20100,<5000km
MC LAREN,720S,V8 4.0,276000,03/01/2020,ESSENCE,1150,2020,AUTOMATIQUE,20100,<5000km
FERRARI,812 SUPERFAST,,350000,17/01/2020,ESSENCE,17524,2019,AUTOMATIQUE,20142,<50000km
FERRARI,488,GTB,250000,01/02/2020,ESSENCE,2000,2018,AUTOMATIQUE,20142,<5000km
NISSAN,GT R,V6 3.8,44900,02/02/2020,ESSENCE,49300,2009,AUTOMATIQUE,20121,<50000km
FERRARI,F12,,195000,05/02/2020,ESSENCE,19970,2013,AUTOMATIQUE,20142,<50000km
FERRARI,488,,229000,08/02/2020,ESSENCE,42000,2016,AUTOMATIQUE,20121,<50000km
LAMBORGHINI,MURCIELAGO,,155000,21/02/2020,ESSENCE,34125,2005,-,20100,<50000km
LAMBORGHINI,COUNTACH,,390000,21/02/2020,ESSENCE,11476,1984,-,20100,<50000km
FERRARI,F12,,225000,16/03/2020,ESSENCE,44000,2013,AUTOMATIQUE,20145,<50000km
MC LAREN,540C,V8 3.8,159000,16/10/2018,ESSENCE,1220,2019,AUTOMATIQUE,20157,<5000km
MC LAREN,720S,V8 4.0,251500,31/03/2019,ESSENCE,1150,2020,AUTOMATIQUE,20157,<5000km
MC LAREN,570S,V8 3.8,159000,20/11/2019,ESSENCE,2415,2019,AUTOMATIQUE,20157,<5000km
MC LAREN,600LT,V8 3.8,230000,21/11/2019,ESSENCE,7107,2020,AUTOMATIQUE,20157,<50000km
MC LAREN,570S,V8 3.8,155000,28/11/2019,ESSENCE,3899,2018,AUTOMATIQUE,20157,<5000km
MC LAREN,600LT,V8 3.8,240000,07/12/2019,ESSENCE,1341,2020,AUTOMATIQUE,20157,<5000km
ASTON MARTIN,VANQUISH,SV12 5.9,87000,09/10/2019,ESSENCE,28000,2005,AUTOMATIQUE,20040,<50000km
LAMBORGHINI,DIABLO,V12 5.7,290000,27/04/2018,ESSENCE,5800,1992,MANUELLE,21029,<50000km
LAMBORGHINI,MURCIELAGO,,115000,08/02/2019,ESSENCE,28500,2005,AUTOMATIQUE,21029,<50000km
LAMBORGHINI,DIABLO,V12 5.7,280000,07/12/2019,ESSENCE,33260,1998,MANUELLE,21029,<50000km
FERRARI,812 SUPERFAST,,305000,28/12/2019,ESSENCE,11790,2019,AUTOMATIQUE,21029,<50000km
LAMBORGHINI,MURCIELAGO,LP640 4,290000,11/01/2020,ESSENCE,670,2006,AUTOMATIQUE,21029,<5000km
LAMBORGHINI,AVENTADOR,SV12 6.5,325000,18/01/2020,ESSENCE,118,2018,AUTOMATIQUE,21029,<5000km
GUMPERT,APOLLO,,299000,29/02/2020,-,15000,2007,-,21047,<50000km
FERRARI,F12,,179000,03/03/2020,ESSENCE,26000,2013,-,21047,<50000km
LAMBORGHINI,AVENTADOR,V12 6.5,267500,17/05/2019,ESSENCE,6900,2016,AUTOMATIQUE,20099,<50000km
FERRARI,812 SUPERFAST,,324900,14/09/2019,ESSENCE,1400,2019,AUTOMATIQUE,20099,<5000km
NISSAN,GT R,V6 3.8BOSE,61500,26/10/2019,ESSENCE,43400,2011,AUTOMATIQUE,20099,<50000km
NISSAN,GT R,,61500,28/10/2019,ESSENCE,43400,2011,AUTOMATIQUE,20099,<50000km
LAMBORGHINI,AVENTADOR,SV12 6.5,305400,06/12/2019,ESSENCE,7700,2018,AUTOMATIQUE,20099,<50000km
FERRARI,488,GTB,198400,20/12/2019,ESSENCE,9900,2017,AUTOMATIQUE,20099,<50000km
MC LAREN,MP4 12C,V8 3.8,102500,03/01/2020,ESSENCE,62900,2012,AUTOMATIQUE,20099,<150000km
FERRARI,488,GTB,196400,19/02/2020,ESSENCE,4900,2017,AUTOMATIQUE,20099,<5000km
MC LAREN,650S,V8 3.8,128500,21/02/2020,ESSENCE,39900,2014,AUTOMATIQUE,20099,<50000km
MC LAREN,720S,V8 4.0,234500,22/02/2020,ESSENCE,990,2018,AUTOMATIQUE,20099,<5000km
LAMBORGHINI,COUNTACH,,385000,04/03/2020,ESSENCE,73000,1985,MANUELLE,20099,<150000km
FERRARI,488,GTB,183400,05/03/2020,ESSENCE,16900,2016,AUTOMATIQUE,20099,<50000km
FERRARI,F8 TRIBUTO,,309500,28/03/2020,ESSENCE,10,2020,AUTOMATIQUE,20099,<5000km
MERCEDES,SLR MCLAREN,,350000,12/11/2019,ESSENCE,42800,2007,AUTOMATIQUE,21040,<50000km
MC LAREN,570S,V8 3.8,158000,01/06/2019,ESSENCE,19000,2016,AUTOMATIQUE,21027,<50000km
FERRARI,812 SUPERFAST,,324000,07/03/2020,ESSENCE,100,2019,AUTOMATIQUE,20900,<5000km
FERRARI,F12 TDF,,804632,30/09/2019,ESSENCE,1200,2017,AUTOMATIQUE,1933,<5000km
DE TOMASO,PANTERA,,198000,29/03/2019,ESSENCE,38000,1973,MANUELLE,21100,<50000km
NISSAN,SKYLINE,GT R,21000,24/03/2020,ESSENCE,120000,-,-,22073,<150000km
FERRARI,488,GTB,205000,14/04/2018,ESSENCE,8328,2017,AUTOMATIQUE,57037,<50000km
FERRARI,488,,239900,06/03/2020,ESSENCE,7900,2018,AUTOMATIQUE,57037,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION,66169,11/10/2019,ESSENCE,55000,2010,AUTOMATIQUE,1907,<150000km
NISSAN,GT R,V6 3.8BLACK EDITION,66254,08/02/2020,ESSENCE,55000,2010,AUTOMATIQUE,1907,<150000km
LAMBORGHINI,MURCIELAGO,,194990,17/12/2019,ESSENCE,60000,2002,MANUELLE,43100,<150000km
FERRARI,F12,NOVITEC,279900,09/07/2019,ESSENCE,15000,2013,AUTOMATIQUE,74800,<50000km
FERRARI,488,GTB,210000,27/09/2019,ESSENCE,11279,2016,MANUELLE,43126,<50000km
MC LAREN,570S,V8 3.8,135368,02/04/2020,ESSENCE,34000,2016,AUTOMATIQUE,1902,<50000km
FERRARI,488,GTB,200000,27/10/2019,ESSENCE,13700,2016,AUTOMATIQUE,22100,<50000km
FERRARI,488,GTB,230000,31/12/2019,ESSENCE,4000,2019,AUTOMATIQUE,55011,<5000km
NISSAN,GT R,,62000,30/01/2020,ESSENCE,46000,2013,-,55011,<50000km
MC LAREN,650S,V8 3.8,212518,03/06/2018,ESSENCE,19767,2014,AUTOMATIQUE,6850,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION4X4,58500,18/01/2020,ESSENCE,70000,2013,AUTOMATIQUE,38390,<150000km
FERRARI,488,,271900,25/12/2018,ESSENCE,6000,2018,AUTOMATIQUE,24040,<50000km
NISSAN,GT R,V6 3.8PRESTIGE,88000,21/01/2019,ESSENCE,10500,2017,MANUELLE,24040,<50000km
LAMBORGHINI,MURCIELAGO,LP640 4,179386,31/05/2018,ESSENCE,21900,2009,AUTOMATIQUE,1950,<50000km
LAMBORGHINI,AVENTADOR,V12 6.5,263635,15/08/2018,ESSENCE,33500,2012,AUTOMATIQUE,1950,<50000km
FERRARI,488,GTB,208258,16/01/2019,ESSENCE,12000,2015,AUTOMATIQUE,1950,<50000km
FERRARI,488,GTB,245176,29/08/2019,ESSENCE,7500,2019,AUTOMATIQUE,1950,<50000km
MC LAREN,570GT,V8 3.8,203051,07/09/2019,ESSENCE,1200,2020,AUTOMATIQUE,1950,<5000km
MC LAREN,570GT,V8 3.8,141899,18/09/2019,ESSENCE,16000,2017,AUTOMATIQUE,1950,<50000km
LAMBORGHINI,DIABLO,V12 5.7,212991,01/10/2019,ESSENCE,47900,1994,MANUELLE,1950,<50000km
FERRARI,F12,,184497,16/10/2019,ESSENCE,34400,2014,AUTOMATIQUE,1950,<50000km
FERRARI,488,,282557,30/10/2019,ESSENCE,100,2020,AUTOMATIQUE,1950,<5000km
NISSAN,GT R,,38338,03/03/2020,ESSENCE,123456,2009,AUTOMATIQUE,1950,<150000km
NISSAN,GT R,V6 3.8PREMIUM EDITION,61436,20/03/2020,ESSENCE,35500,2011,AUTOMATIQUE,1950,<50000km
LAMBORGHINI,MURCIELAGO,LP640 4,168973,02/04/2020,ESSENCE,19500,2007,AUTOMATIQUE,1950,<50000km
FERRARI,488,,230000,18/09/2019,ESSENCE,8200,2018,AUTOMATIQUE,56022,<50000km
FERRARI,812 SUPERFAST,,360000,22/10/2019,ESSENCE,1200,2019,AUTOMATIQUE,26035,<5000km
FERRARI,F12,,225000,22/10/2019,ESSENCE,53000,2013,AUTOMATIQUE,26035,<150000km
FERRARI,812 SUPERFAST,,358771,01/03/2020,ESSENCE,990,2019,AUTOMATIQUE,1870,<5000km
MC LAREN,MP4 12C,V8 3.8,99990,17/03/2020,ESSENCE,50787,2013,AUTOMATIQUE,38670,<150000km
MC LAREN,MP4 12C,V8 3.8,99990,17/03/2020,ESSENCE,50787,2012,AUTOMATIQUE,38670,<150000km
FERRARI,599,GTO,425035,21/03/2020,ESSENCE,42000,2011,AUTOMATIQUE,6916,<50000km
FERRARI,F12,,183172,21/03/2020,ESSENCE,24000,2013,AUTOMATIQUE,6916,<50000km
LAMBORGHINI,DIABLO,V12 5.7,250000,28/11/2018,ESSENCE,15000,1993,MANUELLE,51016,<50000km
DE TOMASO,PANTERA,,180000,29/11/2018,ESSENCE,-,1974,MANUELLE,51016,NC
FERRARI,488,GTB,324352,08/01/2019,ESSENCE,300,2018,AUTOMATIQUE,6915,<5000km
FERRARI,599,GTO,662638,25/02/2019,ESSENCE,4500,2010,AUTOMATIQUE,6915,<5000km
MC LAREN,720S,V8 4.0,233817,12/09/2019,ESSENCE,12500,2018,AUTOMATIQUE,6915,<50000km
FERRARI,F12,,188284,06/12/2019,ESSENCE,32000,2015,AUTOMATIQUE,6915,<50000km
FERRARI,488,GTB,207311,06/12/2019,ESSENCE,9000,2017,AUTOMATIQUE,6915,<50000km
FERRARI,599,GTO,472366,11/02/2020,ESSENCE,20640,2010,AUTOMATIQUE,6915,<50000km
FERRARI,ENZO,,2792547,02/03/2020,ESSENCE,9500,2003,AUTOMATIQUE,6915,<50000km
FERRARI,ENZO,,2271903,02/03/2020,ESSENCE,12900,2004,AUTOMATIQUE,6915,<50000km
FERRARI,488,GTB,162820,02/03/2020,ESSENCE,79330,2015,AUTOMATIQUE,6915,<150000km
FERRARI,F12,,206270,12/03/2020,ESSENCE,9800,2013,AUTOMATIQUE,6915,<50000km
FERRARI,488,GTB,183645,02/04/2020,ESSENCE,31400,2016,AUTOMATIQUE,6915,<50000km
LAMBORGHINI,AVENTADOR,SVV12 6.5,490352,26/11/2019,ESSENCE,150,2020,AUTOMATIQUE,6933,<5000km
NISSAN,GT R,V6 3.8,85195,21/03/2020,ESSENCE,25000,2017,AUTOMATIQUE,6934,<50000km
LAMBORGHINI,COUNTACH,,558509,01/11/2018,ESSENCE,37500,1986,MANUELLE,1228,<50000km
MC LAREN,570S,V8 3.8,141047,07/11/2018,ESSENCE,10200,2016,AUTOMATIQUE,1228,<50000km
FERRARI,F12,,227096,01/02/2019,ESSENCE,15000,2013,AUTOMATIQUE,1228,<50000km
LAMBORGHINI,DIABLO,V12 5.7,165660,24/04/2019,ESSENCE,23000,1996,MANUELLE,1228,<50000km
FERRARI,F12,,227096,29/06/2019,ESSENCE,16900,2016,AUTOMATIQUE,1228,<50000km
LAMBORGHINI,AVENTADOR,SV12 6.5,340312,06/08/2019,ESSENCE,17500,2017,AUTOMATIQUE,1228,<50000km
LAMBORGHINI,AVENTADOR,SV12 6.5,373444,28/08/2019,ESSENCE,1000,2018,AUTOMATIQUE,1228,<5000km
FERRARI,812 SUPERFAST,,321675,05/09/2019,ESSENCE,5900,2018,AUTOMATIQUE,1228,<50000km
LAMBORGHINI,DIABLO,V12 5.7,144360,25/09/2019,ESSENCE,11400,1994,MANUELLE,1228,<50000km
LAMBORGHINI,MURCIELAGO,,137734,09/10/2019,ESSENCE,30950,2002,MANUELLE,1228,<50000km
LAMBORGHINI,MURCIELAGO,,127321,09/10/2019,ESSENCE,55300,2003,MANUELLE,1228,<150000km
LAMBORGHINI,MURCIELAGO,,117855,09/10/2019,ESSENCE,87500,2002,MANUELLE,1228,<150000km
LAMBORGHINI,AVENTADOR,SV12 6.5,369089,09/10/2019,ESSENCE,3900,2017,AUTOMATIQUE,1228,<5000km
FERRARI,812 SUPERFAST,,335958,02/03/2020,ESSENCE,650,2018,AUTOMATIQUE,1228,<5000km
