marque,modele,version,prix,date,motor,kilometrage,annee,boite de vitesse,code postal,etat
NISSAN,GT R,BLACK EDITION,84900,11/03/2020,ESSENCE,32000,2016,MANUELLE,33530,<50000km
LAMBORGHINI,AVENTADOR,SVV12 6.5,269900,03/09/2019,ESSENCE,9000,2015,AUTOMATIQUE,33310,<50000km
MC LAREN,720S,V8 4.0,195950,01/02/2020,ESSENCE,12990,2018,AUTOMATIQUE,74196,<50000km
WIESMANN,MF3,,127900,13/04/2020,ESSENCE,35000,2004,MANUELLE,74638,<50000km
DE TOMASO,PANTERA,,129000,19/01/2020,ESSENCE,27306,1979,MANUELLE,57100,<50000km
NISSAN,GT R,V6 3.8,77000,30/01/2020,ESSENCE,30000,2016,AUTOMATIQUE,33000,<50000km
MC LAREN,650S,V8 3.8,97988,10/04/2020,ESSENCE,28461,2016,AUTOMATIQUE,33800,<50000km
MERCEDES,SLR MCLAREN,,199990,15/07/2019,ESSENCE,112760,2005,AUTOMATIQUE,68723,<150000km
NISSAN,SKYLINE,GT R,36500,29/11/2019,ESSENCE,111800,1996,MANUELLE,67655,<150000km
MC LAREN,720S,V8 4.0,249000,22/08/2019,ESSENCE,4600,2019,AUTOMATIQUE,66877,<5000km
MC LAREN,MP4 12C,V8 3.8,115000,07/02/2020,ESSENCE,4000,2011,AUTOMATIQUE,51210,<5000km
MC LAREN,MP4 12C,V8 3.8,109900,26/11/2019,ESSENCE,24900,2012,AUTOMATIQUE,74861,<50000km
NISSAN,GT R,V6 3.8PRESTIGE,94380,13/03/2020,ESSENCE,100,2020,AUTOMATIQUE,69126,<5000km
NISSAN,GT R,V6 3.8BLACK EDITION,54500,07/04/2020,ESSENCE,14800,2015,AUTOMATIQUE,85283,<50000km
LAMBORGHINI,AVENTADOR,V12 6.5,249980,11/12/2018,ESSENCE,15510,2015,AUTOMATIQUE,66606,<50000km
MC LAREN,MP4 12C,V8 3.8,117800,15/08/2019,ESSENCE,33843,2012,AUTOMATIQUE,33520,<50000km
NISSAN,GT R,V6 3.8GENTLEMAN EDITION,104900,31/12/2019,ESSENCE,10,2018,AUTOMATIQUE,33520,<5000km
NISSAN,GT R,V6 3.8PREMIUM EDITION,84990,13/03/2020,ESSENCE,10265,2017,AUTOMATIQUE,33520,<50000km
NISSAN,GT R,V6 3.8GENTLEMAN EDITION,109400,15/03/2020,ESSENCE,10,2020,-,33520,<5000km
NISSAN,GT R,V6 3.8GENTLEMAN EDITION,109400,15/03/2020,ESSENCE,10,2018,AUTOMATIQUE,33520,<5000km
FORD,GT,V8 5.4,295000,20/12/2019,ESSENCE,14000,2006,MANUELLE,91720,<50000km
ASTON MARTIN,VANQUISH,V12 5.9,129800,18/01/2019,ESSENCE,38500,2005,MANUELLE,33700,<50000km
LAMBORGHINI,AVENTADOR,SVJV12 6.5,495000,09/12/2019,ESSENCE,4850,2019,AUTOMATIQUE,33700,<5000km
FERRARI,812 SUPERFAST,,320000,20/02/2020,ESSENCE,490,2019,AUTOMATIQUE,33700,<5000km
NISSAN,GT R,,119900,02/03/2020,ESSENCE,52462,2014,-,51530,<150000km
NISSAN,GT R,V6 3.8GENTLEMAN EDITION,86500,19/02/2020,ESSENCE,13200,2018,MANUELLE,33290,<50000km
FERRARI,488,,253470,18/03/2019,ESSENCE,93,2020,AUTOMATIQUE,69115,<5000km
FERRARI,812 SUPERFAST,,348670,19/04/2019,ESSENCE,91,2020,AUTOMATIQUE,69115,<5000km
LAMBORGHINI,AVENTADOR,SVJV12 6.5,499800,28/05/2019,ESSENCE,56,2020,AUTOMATIQUE,69115,<5000km
FERRARI,812 SUPERFAST,,334985,22/12/2019,ESSENCE,6375,2018,AUTOMATIQUE,69115,<50000km
NISSAN,GT R,V6 3.8GENTLEMAN EDITION,61500,06/03/2020,ESSENCE,49000,2013,AUTOMATIQUE,66706,<50000km
NISSAN,GT R,V6 3.8,119900,21/02/2020,ESSENCE,52400,2014,AUTOMATIQUE,51200,<150000km
FERRARI,488,GTB,239000,30/11/2019,ESSENCE,10,2020,AUTOMATIQUE,86100,<5000km
NISSAN,GT R,V6 3.8PREMIUM EDITION,47990,29/02/2020,ESSENCE,15311,2009,AUTOMATIQUE,69250,<50000km
FERRARI,F12,,265000,24/02/2020,ESSENCE,9000,2014,-,81047,<50000km
FERRARI,812 SUPERFAST,,595000,04/12/2019,ESSENCE,240,2019,AUTOMATIQUE,68161,<5000km
FERRARI,F12,NOVITEC,305000,05/12/2019,ESSENCE,16000,2013,AUTOMATIQUE,68161,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION,79999,31/01/2020,ESSENCE,39000,2017,MANUELLE,22001,<50000km
FERRARI,488,GTB,198900,16/03/2020,ESSENCE,17500,2018,AUTOMATIQUE,37210,<50000km
LAMBORGHINI,HURACAN SPYDER,PERFORMANTEV10 5.2,283000,13/07/2019,ESSENCE,6500,2018,AUTOMATIQUE,54720,<50000km
