marque,modele,version,prix,date,motor,kilometrage,annee,boite de vitesse,code postal,etat,percentage
FERRARI,F12,,319900,09/11/2019,ESSENCE,8900,2014,AUTOMATIQUE,6400,<50000km,1.0898358306272797
LAMBORGHINI,AVENTADOR,SV12 6.5,279900,04/12/2019,ESSENCE,22900,2016,AUTOMATIQUE,6400,<50000km,0.9849010340500327
MC LAREN,MP4 12C,V8 3.8,104000,26/12/2019,ESSENCE,25000,2011,AUTOMATIQUE,6400,<50000km,1.1110249148359417
MC LAREN,MP4 12C,V8 3.8,110000,27/12/2019,ESSENCE,25000,2011,AUTOMATIQUE,6400,<50000km,1.1110249148359417
FERRARI,F12,,219000,21/01/2020,ESSENCE,1750,2013,AUTOMATIQUE,6400,<5000km,1.0898358306272797
FERRARI,599,GTO,750000,30/01/2020,ESSENCE,1368,2011,AUTOMATIQUE,6150,<5000km,1.044769782541518
ASTON MARTIN,VANQUISH,V12 5.9,149900,03/02/2020,ESSENCE,26900,2015,AUTOMATIQUE,6400,<50000km,1.5998598388044862
NISSAN,SKYLINE,GT R,37500,07/02/2020,ESSENCE,59500,1994,MANUELLE,83440,<150000km,1.501102391390483
NISSAN,GT R,BLACK EDITION,89990,14/02/2020,ESSENCE,8724,2016,AUTOMATIQUE,83600,<50000km,1.0317998911657071
NISSAN,GT R,V6 3.8BLACK EDITION4X4,89990,14/02/2020,ESSENCE,8724,2016,AUTOMATIQUE,83600,<50000km,1.0317998911657071
MC LAREN,570GT,V8 3.8,159900,03/04/2020,ESSENCE,12844,2017,AUTOMATIQUE,83490,<50000km,1.1431181809932949
ASTON MARTIN,VANQUISH,V12 5.9,99990,16/09/2019,ESSENCE,27000,2005,MANUELLE,83990,<50000km,1.5998598388044862
ASTON MARTIN,VANQUISH,SV12 5.9,99990,17/09/2019,ESSENCE,27000,2005,AUTOMATIQUE,83990,<50000km,1.5998598388044862
NISSAN,GT R,V6 3.8PREMIUM EDITION,69990,27/01/2020,ESSENCE,55000,2012,AUTOMATIQUE,83990,<150000km,1.0317998911657071
NISSAN,GT R,V6 3.8BLACK EDITION4X4,69990,28/01/2020,ESSENCE,49900,2012,AUTOMATIQUE,83990,<50000km,1.0317998911657071
LAMBORGHINI,AVENTADOR,SV12 6.5,285000,20/03/2020,ESSENCE,8200,2017,AUTOMATIQUE,83780,<50000km,0.9849010340500327
FORD,GT,V8 5.4,275000,25/06/2019,ESSENCE,33950,2006,MANUELLE,83580,<50000km,-1.0
FERRARI,488,,420000,18/07/2019,ESSENCE,350,2018,AUTOMATIQUE,83580,<5000km,1.0027013346125184
FORD,RS200,,420000,06/12/2019,-,18000,1986,MANUELLE,12025,<50000km,-1.0
FERRARI,F12 TDF,,790000,09/03/2020,ESSENCE,19399,2016,AUTOMATIQUE,12084,<50000km,1.2303997484833311
MC LAREN,570S,V8 3.8,149500,27/12/2019,ESSENCE,19000,2017,MANUELLE,83400,<50000km,0.9359892770882359
FERRARI,488,GTB,180000,24/10/2019,ESSENCE,30000,2015,AUTOMATIQUE,12032,<50000km,1.0027013346125184
MC LAREN,650S,V8 3.8,97800,08/12/2019,ESSENCE,28978,2016,AUTOMATIQUE,83130,<50000km,0.8308812270050367
NISSAN,GT R,V6 3.8GENTLEMAN EDITION4X4,86990,14/02/2020,ESSENCE,9973,2017,AUTOMATIQUE,83130,<50000km,1.0317998911657071
LAMBORGHINI,MURCIELAGO,,119000,19/02/2020,ESSENCE,44000,2007,AUTOMATIQUE,83130,<50000km,1.1813403598102055
FORD,GT,SES,299000,10/12/2019,ESSENCE,19000,2005,-,83100,<50000km,-1.0
NISSAN,GT R,GENTLEMAN EDITION,86990,14/02/2020,ESSENCE,9973,2017,AUTOMATIQUE,83000,<50000km,1.0317998911657071
LAMBORGHINI,MURCIELAGO,LP580 4,115000,11/04/2020,ESSENCE,45000,2007,AUTOMATIQUE,83000,<50000km,1.1813403598102055
MC LAREN,570S,V8 3.8,124990,03/04/2020,ESSENCE,30000,2017,AUTOMATIQUE,13100,<50000km,0.9359892770882359
LAMBORGHINI,AVENTADOR,V12 6.5,219000,28/10/2019,ESSENCE,24000,2012,AUTOMATIQUE,13190,<50000km,0.9849010340500327
MC LAREN,570GT,V8 3.8,165000,03/01/2020,ESSENCE,6500,2016,AUTOMATIQUE,13290,<50000km,1.1431181809932949
NISSAN,GT R,BLACK EDITION,61000,11/03/2020,ESSENCE,40000,2012,AUTOMATIQUE,13013,<50000km,1.0317998911657071
FERRARI,F12,,180000,05/10/2018,ESSENCE,40774,2013,AUTOMATIQUE,10141,<50000km,1.0898358306272797
LAMBORGHINI,MURCIELAGO,,180000,24/11/2018,ESSENCE,29800,2008,MANUELLE,10149,<50000km,1.1813403598102055
FERRARI,488,,225000,17/07/2019,ESSENCE,10790,2017,AUTOMATIQUE,10141,<50000km,1.0027013346125184
FERRARI,488,GTB,195000,23/09/2019,ESSENCE,21150,2017,AUTOMATIQUE,10141,<50000km,1.0027013346125184
FERRARI,488,GTB,199000,07/11/2019,ESSENCE,15475,2017,AUTOMATIQUE,10141,<50000km,1.0027013346125184
FERRARI,F12,,185000,30/11/2019,ESSENCE,47577,2013,AUTOMATIQUE,10141,<50000km,1.0898358306272797
FERRARI,F12,,185000,05/12/2019,ESSENCE,28691,2014,AUTOMATIQUE,10141,<50000km,1.0898358306272797
FERRARI,488,GTB,180000,05/12/2019,ESSENCE,45260,2016,AUTOMATIQUE,10141,<50000km,1.0027013346125184
FERRARI,488,,230000,09/01/2020,ESSENCE,20000,2017,AUTOMATIQUE,10141,<50000km,1.0027013346125184
FERRARI,488,,245000,22/01/2020,ESSENCE,8024,2017,AUTOMATIQUE,10141,<50000km,1.0027013346125184
MERCEDES,SLR MCLAREN,,290000,01/02/2020,ESSENCE,16822,2004,AUTOMATIQUE,10100,<50000km,-1.0
NISSAN,GT R,V6 3.8BLACK EDITION,120000,29/02/2020,ESSENCE,42000,2013,AUTOMATIQUE,10100,<50000km,1.0317998911657071
FERRARI,812 SUPERFAST,,280000,06/03/2020,ESSENCE,21722,2018,AUTOMATIQUE,10141,<50000km,1.0383023697920182
DE TOMASO,PANTERA,,155000,15/03/2020,ESSENCE,54000,1974,MANUELLE,10151,<150000km,0.8914153082154809
NISSAN,GT R,V6 3.8BLACK EDITION,51900,13/04/2020,ESSENCE,66000,2012,AUTOMATIQUE,10098,<150000km,1.0317998911657071
NISSAN,GT R,V6 3.8BLACK EDITION,67900,18/10/2019,ESSENCE,32000,2013,AUTOMATIQUE,10040,<50000km,1.0317998911657071
MC LAREN,600LT,V8 3.8,269000,12/06/2019,ESSENCE,80,2019,AUTOMATIQUE,13510,<5000km,0.9348414732437988
FERRARI,488,GTB,199900,15/08/2019,ESSENCE,15353,2016,AUTOMATIQUE,13510,<50000km,1.0027013346125184
ASTON MARTIN,VANQUISH,V12 5.9,157000,03/12/2019,ESSENCE,8100,2016,AUTOMATIQUE,13010,<50000km,1.5998598388044862
LAMBORGHINI,COUNTACH,,540000,10/12/2019,ESSENCE,254,1990,MANUELLE,16100,<5000km,1.5773088026886284
LAMBORGHINI,DIABLO,V12 5.7,260000,13/12/2019,ESSENCE,18000,1995,MANUELLE,16100,<50000km,0.8642904891719105
FERRARI,F12,,235000,19/10/2019,ESSENCE,8500,2015,AUTOMATIQUE,16148,<50000km,1.0898358306272797
NISSAN,GT R,V6 3.8BLACK EDITION,88900,19/02/2020,ESSENCE,12000,2018,AUTOMATIQUE,13880,<50000km,1.0317998911657071
LAMBORGHINI,DIABLO,,158000,01/06/2018,ESSENCE,35948,1993,MANUELLE,10036,<50000km,0.8642904891719105
NISSAN,GT R,BLACK EDITION,87900,16/11/2019,ESSENCE,79000,2010,AUTOMATIQUE,13340,<150000km,1.0317998911657071
LAMBORGHINI,DIABLO,,204100,15/01/2020,ESSENCE,65000,1995,MANUELLE,10077,<150000km,0.8642904891719105
MERCEDES,SLR MCLAREN,,399000,08/08/2018,ESSENCE,6000,2004,AUTOMATIQUE,15100,<50000km,-1.0
MC LAREN,570S SPIDER,V8 3.8,159000,29/02/2020,ESSENCE,6114,2018,AUTOMATIQUE,15100,<50000km,1.1229124297622057
NISSAN,GT R,BLACK EDITION,86500,22/10/2019,ESSENCE,79000,2010,AUTOMATIQUE,84000,<150000km,1.0317998911657071
FERRARI,488,GTB,186990,24/01/2020,ESSENCE,13956,2015,AUTOMATIQUE,84100,<50000km,1.0027013346125184
LAMBORGHINI,DIABLO,V12 5.7,135000,08/02/2019,ESSENCE,40000,1997,MANUELLE,28100,<50000km,0.8642904891719105
NISSAN,GT R,,69990,12/03/2020,ESSENCE,66500,2009,AUTOMATIQUE,73190,<150000km,1.0317998911657071
NISSAN,GT R,V6 3.8GENTLEMAN EDITION,92990,28/11/2019,ESSENCE,10400,2017,AUTOMATIQUE,73000,<50000km,1.0317998911657071
NISSAN,GT R,V6 3.8GENTLEMAN EDITION,99990,13/04/2020,ESSENCE,2000,2019,AUTOMATIQUE,30000,<5000km,1.0317998911657071
MERCEDES,SLR MCLAREN,,285000,07/12/2018,ESSENCE,14700,2005,AUTOMATIQUE,20080,<50000km,-1.0
FERRARI,488,,233000,06/09/2019,ESSENCE,5600,2017,AUTOMATIQUE,20080,<50000km,1.0027013346125184
FERRARI,812 SUPERFAST,,316000,23/10/2019,ESSENCE,5100,2018,AUTOMATIQUE,20080,<50000km,1.0383023697920182
LAMBORGHINI,AVENTADOR,SVJV12 6.5,523500,10/12/2019,ESSENCE,22,2020,AUTOMATIQUE,20080,<5000km,0.9849010340500327
LAMBORGHINI,AVENTADOR,SV12 6.5,301000,10/12/2019,ESSENCE,3300,2018,AUTOMATIQUE,20080,<5000km,0.9849010340500327
MC LAREN,SENNA,V8 4.0,1260000,11/12/2019,ESSENCE,10,2020,AUTOMATIQUE,20080,<5000km,-1.0
ASTON MARTIN,VANQUISH,V12 5.9,163000,11/12/2019,ESSENCE,8250,2015,AUTOMATIQUE,20080,<50000km,1.5998598388044862
MC LAREN,720S,V8 4.0,235000,18/12/2019,ESSENCE,7800,2018,AUTOMATIQUE,20080,<50000km,0.9949307297962883
MC LAREN,SENNA,V8 4.0,1350000,03/01/2020,ESSENCE,10,2020,AUTOMATIQUE,20080,<5000km,-1.0
FERRARI,F12,,191000,15/02/2020,ESSENCE,30900,2014,AUTOMATIQUE,20080,<50000km,1.0898358306272797
LAMBORGHINI,AVENTADOR,SV12 6.5,292000,18/02/2020,ESSENCE,17100,2017,AUTOMATIQUE,20080,<50000km,0.9849010340500327
MC LAREN,570GT,V8 3.8,138000,22/02/2020,ESSENCE,24300,2016,AUTOMATIQUE,20080,<50000km,1.1431181809932949
FERRARI,ENZO,,2050000,04/03/2020,ESSENCE,9200,2004,AUTOMATIQUE,20080,<50000km,1.1596117760332842
LAMBORGHINI,AVENTADOR,SVV12 6.5,365000,06/03/2020,ESSENCE,6500,2015,AUTOMATIQUE,20080,<50000km,0.9849010340500327
LAMBORGHINI,AVENTADOR,V12 6.5,258000,12/03/2020,ESSENCE,7600,2016,AUTOMATIQUE,20080,<50000km,0.9849010340500327
MC LAREN,600LT,V8 3.8,228000,10/04/2020,ESSENCE,6700,2019,AUTOMATIQUE,20080,<50000km,0.9348414732437988
FERRARI,488,,161959,07/04/2020,ESSENCE,26790,2017,AUTOMATIQUE,54100,<50000km,1.0027013346125184
FERRARI,812 SUPERFAST,,350000,11/12/2019,ESSENCE,10,2019,AUTOMATIQUE,20010,<5000km,1.0383023697920182
FERRARI,F12,,210000,16/12/2019,ESSENCE,38242,2015,AUTOMATIQUE,57100,<50000km,1.0898358306272797
NISSAN,GT R,V6 3.8BLACK EDITION,89900,18/10/2019,ESSENCE,9000,2014,AUTOMATIQUE,20090,<50000km,1.0317998911657071
LAMBORGHINI,AVENTADOR,V12 6.5,350000,19/10/2019,ESSENCE,150,2014,AUTOMATIQUE,20090,<5000km,0.9849010340500327
FERRARI,488,GTB,216800,18/02/2020,ESSENCE,8400,2019,AUTOMATIQUE,20090,<50000km,1.0027013346125184
LAMBORGHINI,DIABLO,V12 5.7,389000,20/02/2020,ESSENCE,35300,1994,MANUELLE,20090,<50000km,0.8642904891719105
LAMBORGHINI,AVENTADOR,SV12 6.5,329900,25/02/2020,ESSENCE,13900,2018,MANUELLE,20090,<50000km,0.9849010340500327
FERRARI,812 SUPERFAST,,375500,04/03/2020,ESSENCE,500,2019,AUTOMATIQUE,20090,<5000km,1.0383023697920182
FERRARI,488,,248900,04/03/2020,ESSENCE,2000,2019,AUTOMATIQUE,20090,<5000km,1.0027013346125184
MC LAREN,570S SPIDER,V8 3.8,199000,15/11/2018,ESSENCE,1130,2020,AUTOMATIQUE,20100,<5000km,1.1229124297622057
LAMBORGHINI,AVENTADOR,SV12 6.5,324900,23/11/2018,ESSENCE,5337,2017,AUTOMATIQUE,20100,<50000km,0.9849010340500327
FERRARI,F12,,189000,08/01/2019,ESSENCE,30000,2013,AUTOMATIQUE,20142,<50000km,1.0898358306272797
PORSCHE,CARRERA GT,,880000,21/01/2019,ESSENCE,10142,2006,MANUELLE,20149,<50000km,1.0682492581602374
LAMBORGHINI,COUNTACH,LP500S,365000,14/02/2019,ESSENCE,11476,1984,MANUELLE,20126,<50000km,1.5773088026886284
FERRARI,488,,199000,22/02/2019,ESSENCE,32000,2017,AUTOMATIQUE,20121,<50000km,1.0027013346125184
FERRARI,488,,190000,08/03/2019,ESSENCE,1000,2016,AUTOMATIQUE,20159,<5000km,1.0027013346125184
ASTON MARTIN,VANQUISH,V12 5.9,75500,23/03/2019,ESSENCE,12900,2002,AUTOMATIQUE,20100,<50000km,1.5998598388044862
NISSAN,GT R,V6 3.8BLACK EDITION,49500,09/04/2019,ESSENCE,27000,2009,AUTOMATIQUE,20158,<50000km,1.0317998911657071
LAMBORGHINI,DIABLO,V12 5.7,159900,14/05/2019,ESSENCE,60977,1992,MANUELLE,20126,<150000km,0.8642904891719105
FERRARI,488,,245000,15/06/2019,ESSENCE,8900,2018,AUTOMATIQUE,20142,<50000km,1.0027013346125184
FERRARI,488,,225000,28/06/2019,ESSENCE,15900,2016,AUTOMATIQUE,20142,<50000km,1.0027013346125184
ASTON MARTIN,VANQUISH,V12 5.9,94500,03/08/2019,ESSENCE,34000,2002,AUTOMATIQUE,20100,<50000km,1.5998598388044862
ASTON MARTIN,VANQUISH,SV12 5.9,110000,31/08/2019,ESSENCE,49000,2005,AUTOMATIQUE,20123,<50000km,1.5998598388044862
FERRARI,488,GTB,185000,21/09/2019,ESSENCE,33000,2015,AUTOMATIQUE,20142,<50000km,1.0027013346125184
FERRARI,812 SUPERFAST,,285000,21/09/2019,ESSENCE,2400,2018,AUTOMATIQUE,20142,<5000km,1.0383023697920182
FERRARI,488,GTB,215000,26/09/2019,ESSENCE,3000,2017,AUTOMATIQUE,20129,<5000km,1.0027013346125184
MERCEDES,SLR MCLAREN,,350000,18/10/2019,ESSENCE,-,2006,AUTOMATIQUE,20154,NC,-1.0
NISSAN,GT R,V6 3.8,61500,30/10/2019,ESSENCE,43400,2011,AUTOMATIQUE,20121,<50000km,1.0317998911657071
FERRARI,488,,249000,12/11/2019,ESSENCE,38000,2016,AUTOMATIQUE,20100,<50000km,1.0027013346125184
FERRARI,812 SUPERFAST,,280000,14/11/2019,ESSENCE,11200,2018,AUTOMATIQUE,20142,<50000km,1.0383023697920182
FERRARI,488,,240000,26/11/2019,ESSENCE,3900,2016,AUTOMATIQUE,20142,<5000km,1.0027013346125184
FERRARI,488,GTB,225000,04/12/2019,ESSENCE,34000,2018,AUTOMATIQUE,20100,<50000km,1.0027013346125184
FERRARI,488,,230000,04/12/2019,ESSENCE,4300,2017,AUTOMATIQUE,20142,<5000km,1.0027013346125184
MC LAREN,570S SPIDER,V8 3.8,199000,06/12/2019,ESSENCE,930,2019,AUTOMATIQUE,20100,<5000km,1.1229124297622057
MC LAREN,720S,V8 4.0,255000,06/12/2019,ESSENCE,850,2020,AUTOMATIQUE,20100,<5000km,0.9949307297962883
MC LAREN,720S,V8 4.0,275500,06/12/2019,ESSENCE,1422,2019,AUTOMATIQUE,20100,<5000km,0.9949307297962883
MC LAREN,720S,V8 4.0,259000,06/12/2019,ESSENCE,660,2020,AUTOMATIQUE,20100,<5000km,0.9949307297962883
MC LAREN,720S,V8 4.0,279000,03/01/2020,ESSENCE,660,2020,AUTOMATIQUE,20100,<5000km,0.9949307297962883
MC LAREN,720S,V8 4.0,276000,03/01/2020,ESSENCE,1150,2020,AUTOMATIQUE,20100,<5000km,0.9949307297962883
FERRARI,812 SUPERFAST,,350000,17/01/2020,ESSENCE,17524,2019,AUTOMATIQUE,20142,<50000km,1.0383023697920182
FERRARI,488,GTB,250000,01/02/2020,ESSENCE,2000,2018,AUTOMATIQUE,20142,<5000km,1.0027013346125184
NISSAN,GT R,V6 3.8,44900,02/02/2020,ESSENCE,49300,2009,AUTOMATIQUE,20121,<50000km,1.0317998911657071
FERRARI,F12,,195000,05/02/2020,ESSENCE,19970,2013,AUTOMATIQUE,20142,<50000km,1.0898358306272797
FERRARI,488,,229000,08/02/2020,ESSENCE,42000,2016,AUTOMATIQUE,20121,<50000km,1.0027013346125184
LAMBORGHINI,MURCIELAGO,,155000,21/02/2020,ESSENCE,34125,2005,-,20100,<50000km,1.1813403598102055
LAMBORGHINI,COUNTACH,,390000,21/02/2020,ESSENCE,11476,1984,-,20100,<50000km,1.5773088026886284
FERRARI,F12,,225000,16/03/2020,ESSENCE,44000,2013,AUTOMATIQUE,20145,<50000km,1.0898358306272797
MC LAREN,540C,V8 3.8,159000,16/10/2018,ESSENCE,1220,2019,AUTOMATIQUE,20157,<5000km,0.9244253322908522
MC LAREN,720S,V8 4.0,251500,31/03/2019,ESSENCE,1150,2020,AUTOMATIQUE,20157,<5000km,0.9949307297962883
