marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
CITROEN,C3 AIRCROSS,21980,1 génération,Hatchback,2020,08/04/2020,DIESEL,21890,MANUEL,86000,5,99,<50000km
CITROEN,C5 AIRCROSS,40600,1 génération,4x4_SUV,2020,08/04/2020,DIESEL,13,AUTOMATIQUE,27000,6,131,<5000km
CITROEN,C3,14150,3 génération,Hatchback,2019,08/04/2020,ESSENCE,35924,MANUEL,87000,4,82,<50000km
CITROEN,C3,14380,3 génération,Hatchback,2018,08/04/2020,ESSENCE,35747,MANUEL,22000,4,82,<50000km
CITROEN,C5 AIRCROSS,29890,1 génération,4x4_SUV,2020,05/06/2020,ESSENCE,11381,AUTOMATIQUE,77000,10,181,<50000km
CITROEN,C3,13680,3 génération,Hatchback,2018,13/05/2020,DIESEL,59812,MANUEL,44000,4,75,<150000km
CITROEN,C5 AIRCROSS,32810,1 génération,4x4_SUV,2021,11/05/2020,DIESEL,1,MANUEL,42000,6,131,<5000km
CITROEN,BERLINGO,18510,2 génération [2pi restyling],Monospace,2018,08/04/2020,DIESEL,21039,MANUEL,87000,5,90,<50000km
CITROEN,C3,13620,3 génération,Hatchback,2020,12/05/2020,ESSENCE,20165,MANUEL,69000,4,82,<50000km
CITROEN,BERLINGO,20980,2 génération [2pi restyling],Monospace,2019,08/04/2020,DIESEL,31253,MANUEL,44000,5,90,<50000km
CITROEN,C4,12810,2 génération,Hatchback,2016,27/05/2020,ESSENCE,60892,MANUEL,31000,5,110,<150000km
CITROEN,C4,12070,2 génération,Hatchback,2014,15/05/2020,DIESEL,151274,AUTOMATIQUE,46000,5,114,<250000km
CITROEN,C3 PICASSO,15320,1 génération [restyling],Monospace,2016,02/06/2020,DIESEL,48302,MANUEL,34000,5,95,<50000km
CITROEN,C4 SPACETOURER,23290,1 génération,Monospace,2019,08/04/2020,DIESEL,46895,AUTOMATIQUE,13000,9,150,<50000km
CITROEN,C3 AIRCROSS,18070,1 génération,Hatchback,2019,26/05/2020,ESSENCE,18781,AUTOMATIQUE,69000,6,110,<50000km
CITROEN,C5 AIRCROSS,32580,1 génération,4x4_SUV,2020,08/04/2020,DIESEL,11,AUTOMATIQUE,77000,9,177,<5000km
CITROEN,C5 AIRCROSS,32280,1 génération,4x4_SUV,2020,08/04/2020,DIESEL,9173,AUTOMATIQUE,77000,9,177,<50000km
CITROEN,C5,21300,2 génération,Break,2013,20/05/2020,DIESEL,153232,AUTOMATIQUE,46000,15,240,<250000km
CITROEN,C5 AIRCROSS,28290,1 génération,4x4_SUV,2020,08/04/2020,ESSENCE,26643,MANUEL,95000,7,131,<50000km
CITROEN,C5 AIRCROSS,24860,1 génération,4x4_SUV,2021,11/05/2020,DIESEL,1,MANUEL,42000,6,131,<5000km
CITROEN,C5 AIRCROSS,34780,1 génération,4x4_SUV,2020,24/04/2020,ESSENCE,8819,AUTOMATIQUE,44000,10,181,<50000km
CITROEN,C3 AIRCROSS,25050,1 génération,Hatchback,2020,08/04/2020,DIESEL,10748,MANUEL,87000,5,99,<50000km
CITROEN,C3,12730,3 génération,Hatchback,2019,08/04/2020,ESSENCE,20693,MANUEL,34000,4,82,<50000km
CITROEN,C4,23730,2 génération [restyling],Berline,2020,08/04/2020,DIESEL,28460,MANUEL,87000,5,114,<50000km
CITROEN,C3,12850,3 génération,Hatchback,2018,11/04/2020,ESSENCE,26136,MANUEL,84000,4,82,<50000km
CITROEN,C4,18950,2 génération [restyling],Berline,2019,08/04/2020,DIESEL,19799,MANUEL,77000,5,114,<50000km
CITROEN,C4,12470,2 génération [restyling],Berline,2016,08/04/2020,DIESEL,77647,MANUEL,26000,5,114,<150000km
CITROEN,C5 AIRCROSS,29630,1 génération,4x4_SUV,2020,06/06/2020,ESSENCE,15222,AUTOMATIQUE,77000,10,181,<50000km
CITROEN,C4 AIRCROSS,16410,1 génération,4x4_SUV,2016,08/04/2020,DIESEL,70785,MANUEL,14000,6,114,<150000km
CITROEN,C4 SPACETOURER,31900,1 génération,Monospace,2020,06/06/2020,DIESEL,5817,AUTOMATIQUE,34000,9,150,<50000km
CITROEN,BERLINGO,20350,2 génération [2pi restyling],Monospace,2019,28/05/2020,DIESEL,19540,MANUEL,31000,5,90,<50000km
CITROEN,C3,10780,3 génération,Hatchback,2017,08/04/2020,ESSENCE,97032,MANUEL,13000,4,82,<150000km
CITROEN,DS5,14260,1 génération,Hatchback,2015,02/06/2020,DIESEL,134637,AUTOMATIQUE,8000,6,112,<150000km
CITROEN,C5 AIRCROSS,33300,1 génération,4x4_SUV,2021,08/04/2020,DIESEL,12,MANUEL,14000,6,131,<5000km
CITROEN,C3,16500,3 génération,Hatchback,2018,08/04/2020,ESSENCE,62901,MANUEL,87000,4,82,<150000km
CITROEN,C5 AIRCROSS,40780,1 génération,4x4_SUV,2020,08/04/2020,DIESEL,18476,AUTOMATIQUE,56000,9,177,<50000km
CITROEN,C4,11810,2 génération,Hatchback,2017,08/04/2020,DIESEL,136814,MANUEL,35000,5,95,<150000km
CITROEN,BERLINGO,18610,2 génération [2pi restyling],Monospace,2019,20/05/2020,ESSENCE,29936,MANUEL,30000,6,110,<50000km
CITROEN,C5 AIRCROSS,31210,1 génération,4x4_SUV,2020,19/05/2020,DIESEL,29069,MANUEL,63000,6,131,<50000km
CITROEN,BERLINGO,23610,3 génération,Monospace,2020,11/04/2020,DIESEL,9177,MANUEL,84000,5,102,<50000km
CITROEN,C5 AIRCROSS,33860,1 génération,4x4_SUV,2020,08/04/2020,DIESEL,25281,AUTOMATIQUE,30000,6,131,<50000km
CITROEN,C3,6280,2 génération,Hatchback,2011,04/05/2020,ESSENCE,91611,MANUEL,4000,5,75,<150000km
CITROEN,C3 AIRCROSS,23310,1 génération,Hatchback,2020,08/04/2020,DIESEL,7404,AUTOMATIQUE,63000,6,120,<50000km
CITROEN,C5 AIRCROSS,29350,1 génération,4x4_SUV,2020,06/06/2020,ESSENCE,10310,AUTOMATIQUE,77000,10,181,<50000km
CITROEN,C3 AIRCROSS,26560,1 génération,Hatchback,2020,08/04/2020,DIESEL,3450,AUTOMATIQUE,32000,6,120,<5000km
CITROEN,C3,15970,2 génération [restyling],Hatchback,2020,08/04/2020,DIESEL,19370,MANUEL,78000,5,95,<50000km
CITROEN,C3 PICASSO,11130,1 génération [restyling],Monospace,2014,02/06/2020,DIESEL,83662,MANUEL,38000,5,95,<150000km
CITROEN,C5 AIRCROSS,31440,1 génération,4x4_SUV,2020,21/05/2020,DIESEL,26683,AUTOMATIQUE,38000,6,131,<50000km
CITROEN,C3 AIRCROSS,21370,1 génération,Hatchback,2019,28/05/2020,ESSENCE,22201,AUTOMATIQUE,68000,6,110,<50000km
CITROEN,C3 AIRCROSS,21300,1 génération,Hatchback,2020,06/06/2020,ESSENCE,22861,AUTOMATIQUE,69000,6,110,<50000km
CITROEN,C4,17350,2 génération [restyling],Berline,2020,05/06/2020,ESSENCE,21911,AUTOMATIQUE,77000,6,114,<50000km
CITROEN,C4 SPACETOURER,20680,1 génération,Monospace,2020,08/04/2020,DIESEL,35143,MANUEL,77000,6,115,<50000km
CITROEN,C4 SPACETOURER,34700,1 génération,Monospace,2019,08/04/2020,DIESEL,20869,AUTOMATIQUE,56000,9,150,<50000km
CITROEN,DS5,15840,1 génération,Hatchback,2014,24/05/2020,DIESEL,141339,AUTOMATIQUE,87000,9,163,<150000km
CITROEN,BERLINGO,25570,2 génération [2pi restyling],Monospace,2020,03/06/2020,ESSENCE,9551,MANUEL,38000,6,110,<50000km
CITROEN,C4,14870,2 génération,Hatchback,2016,08/04/2020,ESSENCE,101370,MANUEL,46000,5,110,<150000km
CITROEN,C4,11540,2 génération [restyling],Berline,2018,23/05/2020,DIESEL,118910,MANUEL,80000,6,116,<150000km
CITROEN,C5 AIRCROSS,29930,1 génération,4x4_SUV,2020,06/06/2020,DIESEL,9990,AUTOMATIQUE,77000,9,177,<50000km
CITROEN,C3 AIRCROSS,17080,1 génération,Hatchback,2018,23/05/2020,ESSENCE,86876,AUTOMATIQUE,84000,6,110,<150000km
CITROEN,C4,14790,2 génération [restyling],Berline,2018,15/05/2020,ESSENCE,53500,MANUEL,38000,6,114,<150000km
CITROEN,C4,18000,2 génération [restyling],Berline,2020,27/05/2020,ESSENCE,16552,AUTOMATIQUE,61000,6,114,<50000km
CITROEN,C4 SPACETOURER,20110,1 génération,Monospace,2019,08/04/2020,ESSENCE,28024,MANUEL,81000,7,120,<50000km
CITROEN,C3 AIRCROSS,19960,1 génération,Hatchback,2020,30/05/2020,DIESEL,8262,MANUEL,1000,6,120,<50000km
CITROEN,C4 SPACETOURER,18280,1 génération,Monospace,2017,08/04/2020,ESSENCE,63769,MANUEL,19000,7,120,<150000km
CITROEN,C3 PICASSO,12400,1 génération [restyling],Monospace,2018,08/04/2020,ESSENCE,46370,MANUEL,44000,6,115,<50000km
CITROEN,C4,22030,2 génération [restyling],Berline,2021,08/04/2020,ESSENCE,1,AUTOMATIQUE,42000,6,114,<5000km
CITROEN,C3,6770,2 génération [restyling],Hatchback,2012,25/04/2020,DIESEL,146900,MANUEL,93000,4,68,<150000km
CITROEN,C3,15230,3 génération,Hatchback,2019,08/04/2020,DIESEL,68101,MANUEL,47000,5,99,<150000km
CITROEN,C4,16230,2 génération,Hatchback,2017,16/05/2020,ESSENCE,66221,MANUEL,77000,6,110,<150000km
CITROEN,C5 AIRCROSS,38380,1 génération,4x4_SUV,2019,08/04/2020,ESSENCE,6640,AUTOMATIQUE,56000,10,181,<50000km
CITROEN,C3,8970,3 génération,Hatchback,2017,08/04/2020,DIESEL,157228,MANUEL,26000,5,99,<250000km
CITROEN,C4 SPACETOURER,21400,1 génération,Monospace,2019,13/05/2020,ESSENCE,36468,MANUEL,76000,7,120,<50000km
CITROEN,C4,14010,2 génération,Hatchback,2017,08/04/2020,DIESEL,86640,MANUEL,84000,5,95,<150000km
CITROEN,C3,11950,3 génération,Hatchback,2018,08/04/2020,DIESEL,91542,MANUEL,56000,4,75,<150000km
CITROEN,C5 AIRCROSS,30230,1 génération,4x4_SUV,2020,08/04/2020,ESSENCE,26862,MANUEL,47000,7,131,<50000km
CITROEN,C4,12630,2 génération,Hatchback,2018,14/05/2020,DIESEL,142505,AUTOMATIQUE,84000,6,120,<150000km
CITROEN,C3,14670,3 génération,Hatchback,2018,08/04/2020,ESSENCE,32447,MANUEL,87000,4,82,<50000km
CITROEN,C5 AIRCROSS,41740,1 génération,4x4_SUV,2020,08/04/2020,ESSENCE,9941,AUTOMATIQUE,46000,10,181,<50000km
CITROEN,C5 AIRCROSS,37180,1 génération,4x4_SUV,2020,08/04/2020,ESSENCE,8361,AUTOMATIQUE,33000,10,181,<50000km
CITROEN,C4 SPACETOURER,23350,1 génération,Monospace,2019,05/06/2020,ESSENCE,47291,MANUEL,33000,7,120,<50000km
CITROEN,C3,15840,3 génération,Hatchback,2020,08/04/2020,DIESEL,19930,MANUEL,78000,5,99,<50000km
CITROEN,C4,19290,2 génération [restyling],Berline,2020,08/04/2020,DIESEL,26847,MANUEL,81000,5,114,<50000km
CITROEN,DS5,13680,1 génération,Hatchback,2015,20/05/2020,DIESEL,182400,MANUEL,17000,9,163,<250000km
CITROEN,C3 AIRCROSS,24850,1 génération,Hatchback,2021,01/05/2020,DIESEL,11,AUTOMATIQUE,30000,6,120,<5000km
CITROEN,C3 PICASSO,14360,1 génération [restyling],Monospace,2018,21/05/2020,DIESEL,53354,MANUEL,35000,5,95,<150000km
CITROEN,C5 AIRCROSS,43730,1 génération,4x4_SUV,2020,15/05/2020,DIESEL,13,AUTOMATIQUE,31000,9,177,<5000km
CITROEN,C5 AIRCROSS,39660,1 génération,4x4_SUV,2019,05/05/2020,DIESEL,16120,AUTOMATIQUE,72000,6,131,<50000km
CITROEN,C5 AIRCROSS,39340,1 génération,4x4_SUV,2020,08/04/2020,ESSENCE,6,MANUEL,56000,7,131,<5000km
CITROEN,C3 AIRCROSS,16730,1 génération,Hatchback,2020,08/04/2020,ESSENCE,4803,MANUEL,50000,5,82,<5000km
CITROEN,C3,10150,3 génération,Hatchback,2017,08/04/2020,DIESEL,77979,MANUEL,30000,3,75,<150000km
CITROEN,C3 AIRCROSS,17830,1 génération,Hatchback,2020,08/04/2020,DIESEL,17405,MANUEL,13000,5,99,<50000km
CITROEN,C3,18850,3 génération,Hatchback,2021,01/05/2020,ESSENCE,12,MANUEL,30000,5,110,<5000km
CITROEN,C3,18760,3 génération,Hatchback,2020,08/04/2020,ESSENCE,218,MANUEL,34000,4,82,<5000km
CITROEN,C3,12970,3 génération,Hatchback,2019,08/04/2020,ESSENCE,19636,MANUEL,34000,4,82,<50000km
CITROEN,C3,17530,2 génération [restyling],Hatchback,2020,21/04/2020,DIESEL,29794,MANUEL,61000,5,95,<50000km
CITROEN,C3,18120,3 génération,Hatchback,2020,08/04/2020,DIESEL,23518,MANUEL,38000,5,99,<50000km
CITROEN,C3,15850,3 génération,Hatchback,2021,08/04/2020,ESSENCE,13,MANUEL,33000,4,68,<5000km
CITROEN,C3 AIRCROSS,14930,1 génération,Hatchback,2019,21/05/2020,ESSENCE,43907,MANUEL,59000,5,82,<50000km
CITROEN,C4 SPACETOURER,30560,1 génération,Monospace,2019,08/04/2020,DIESEL,23320,AUTOMATIQUE,46000,9,150,<50000km
CITROEN,C3,13990,3 génération,Hatchback,2017,29/05/2020,ESSENCE,33151,AUTOMATIQUE,84000,4,82,<50000km
CITROEN,C3 AIRCROSS,17030,1 génération,Hatchback,2020,08/04/2020,ESSENCE,17755,MANUEL,81000,5,110,<50000km
CITROEN,C3,12940,3 génération,Hatchback,2018,03/06/2020,DIESEL,76160,MANUEL,77000,4,75,<150000km
CITROEN,C5,8920,2 génération,Break,2011,30/05/2020,DIESEL,129353,AUTOMATIQUE,92000,10,163,<150000km
CITROEN,C4 AIRCROSS,16550,1 génération,4x4_SUV,2017,08/04/2020,DIESEL,93627,MANUEL,42000,6,114,<150000km
CITROEN,C3 AIRCROSS,19760,1 génération,Hatchback,2019,08/04/2020,DIESEL,27936,MANUEL,13000,6,120,<50000km
CITROEN,C4,13780,2 génération,Hatchback,2016,08/04/2020,DIESEL,85969,AUTOMATIQUE,67000,5,114,<150000km
CITROEN,C4 SPACETOURER,28480,1 génération,Monospace,2020,08/04/2020,DIESEL,4733,AUTOMATIQUE,13000,6,120,<5000km
CITROEN,C5 AIRCROSS,34700,1 génération,4x4_SUV,2020,24/05/2020,DIESEL,29961,AUTOMATIQUE,87000,6,131,<50000km
CITROEN,BERLINGO,19400,2 génération [2pi restyling],Monospace,2019,08/04/2020,DIESEL,22485,MANUEL,63000,5,90,<50000km
CITROEN,C3,16230,3 génération,Hatchback,2019,08/04/2020,ESSENCE,29689,MANUEL,33000,4,82,<50000km
